day_utc,node_id,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
2025-12-14,dvtqe-tiij5-cthxl-ccixf-7fymg-2iuh3-dbdup-zfnmc-5myo5-vjdm3-nqe,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-14,3655m-si4pt-xysac-y2fwl-htr7g-yhynz-zaey6-xzglx-yqnso-vutgb-lqe,type1.1,"North America,US,Georgia",at2,Assigned,1,352197.1252566735,352197.1252566735,4utr6-xo2fz-v7fsb-t3wsg-k7sfl-cj2ba-ghdnd-kcrfo-xavdb-ebean-mqe,0.003181179255752016,13465,2,0.00014851117546595382,0,
2025-12-14,rkzu3-pcime-656cn-67oho-rkmjy-ko335-tjxqq-cd3cc-zmv4f-3kgug-pae,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-14,2mjgp-xtlo2-elgwk-onn5k-7uhh7-erq34-vr24g-imzfx-pr72w-mewn6-aqe,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-14,5i7he-lt457-b3ov6-fsi2c-pufn7-4i2mp-zkacf-4yysn-7fhr6-zfxg2-4qe,type1.1,"North America,US,Georgia",at2,Assigned,1,352197.1252566735,352197.1252566735,e66qm-3cydn-nkf4i-ml4rb-4ro6o-srm5s-x5hwq-hnprz-3meqp-s7vks-5qe,0.011226799456767769,10891,10,0.0009173470323823503,0,
2025-12-14,jd4tu-jujfx-r4jhd-64yek-3s34j-3qw73-443cu-um6ng-6me6p-r5jwl-3ae,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-14,cvic3-6mmjj-2zszr-mr727-im4l5-skwod-gzrg2-avd4i-bahw3-xyx3l-2ae,type1.1,"North America,US,Georgia",at2,Assigned,1,352197.1252566735,352197.1252566735,4zbus-z2bmt-ilreg-xakz4-6tyre-hsqj4-slb4g-zjwqo-snjcc-iqphi-3qe,0.10604508196721313,7492,285,0.03664652179503665,0,
2025-12-14,7zf3w-emnhk-7yhl4-sxvmx-wxgle-2hatv-hagfv-ybpxo-jglsx-fgadx-hae,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-14,2n6eu-vv67p-bvuwq-eqfwb-r6jdi-wp3fo-jcodd-a7jtx-frju7-3sh3j-zqe,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-14,icbco-xw6zg-wlhyp-juqf4-h5gbs-jjein-nmc6n-itoxd-o52q7-q7fjz-gae,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-14,qowce-hpatx-sz3de-t6iwa-6keak-jdxmo-5gmmw-iohme-ngbmx-wegof-jqe,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-14,edmjn-npvdy-gn3rw-jix5y-da2ae-qb5dh-th3p3-2lkrb-c6prf-tnx7r-zae,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-14,cjiry-m7wev-s6adg-3oqev-2g74r-wmtlj-ttdbj-abwts-rtwlj-6lxts-dqe,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-14,m22uy-ch26x-ymd7q-n3stg-kyoel-t3zdn-4uwqf-zu6sb-pezk4-swax5-yqe,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-15,dvtqe-tiij5-cthxl-ccixf-7fymg-2iuh3-dbdup-zfnmc-5myo5-vjdm3-nqe,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-15,3655m-si4pt-xysac-y2fwl-htr7g-yhynz-zaey6-xzglx-yqnso-vutgb-lqe,type1.1,"North America,US,Georgia",at2,Assigned,1,352197.1252566735,352197.1252566735,4utr6-xo2fz-v7fsb-t3wsg-k7sfl-cj2ba-ghdnd-kcrfo-xavdb-ebean-mqe,0.002635046113306983,13585,4,0.00029435572889837373,0,
2025-12-15,rkzu3-pcime-656cn-67oho-rkmjy-ko335-tjxqq-cd3cc-zmv4f-3kgug-pae,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-15,2mjgp-xtlo2-elgwk-onn5k-7uhh7-erq34-vr24g-imzfx-pr72w-mewn6-aqe,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-15,5i7he-lt457-b3ov6-fsi2c-pufn7-4i2mp-zkacf-4yysn-7fhr6-zfxg2-4qe,type1.1,"North America,US,Georgia",at2,Assigned,1,352197.1252566735,352197.1252566735,e66qm-3cydn-nkf4i-ml4rb-4ro6o-srm5s-x5hwq-hnprz-3meqp-s7vks-5qe,0.006547240156406293,11029,8,0.0007248346470961313,0,
2025-12-15,jd4tu-jujfx-r4jhd-64yek-3s34j-3qw73-443cu-um6ng-6me6p-r5jwl-3ae,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-15,cvic3-6mmjj-2zszr-mr727-im4l5-skwod-gzrg2-avd4i-bahw3-xyx3l-2ae,type1.1,"North America,US,Georgia",at2,Assigned,1,352197.1252566735,352197.1252566735,4zbus-z2bmt-ilreg-xakz4-6tyre-hsqj4-slb4g-zjwqo-snjcc-iqphi-3qe,0.1023448633242648,7067,690,0.08895191439989687,0,
2025-12-15,7zf3w-emnhk-7yhl4-sxvmx-wxgle-2hatv-hagfv-ybpxo-jglsx-fgadx-hae,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-15,2n6eu-vv67p-bvuwq-eqfwb-r6jdi-wp3fo-jcodd-a7jtx-frju7-3sh3j-zqe,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-15,icbco-xw6zg-wlhyp-juqf4-h5gbs-jjein-nmc6n-itoxd-o52q7-q7fjz-gae,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-15,qowce-hpatx-sz3de-t6iwa-6keak-jdxmo-5gmmw-iohme-ngbmx-wegof-jqe,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-15,edmjn-npvdy-gn3rw-jix5y-da2ae-qb5dh-th3p3-2lkrb-c6prf-tnx7r-zae,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-15,cjiry-m7wev-s6adg-3oqev-2g74r-wmtlj-ttdbj-abwts-rtwlj-6lxts-dqe,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-15,m22uy-ch26x-ymd7q-n3stg-kyoel-t3zdn-4uwqf-zu6sb-pezk4-swax5-yqe,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-16,dvtqe-tiij5-cthxl-ccixf-7fymg-2iuh3-dbdup-zfnmc-5myo5-vjdm3-nqe,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-16,3655m-si4pt-xysac-y2fwl-htr7g-yhynz-zaey6-xzglx-yqnso-vutgb-lqe,type1.1,"North America,US,Georgia",at2,Assigned,1,352197.1252566735,352197.1252566735,4utr6-xo2fz-v7fsb-t3wsg-k7sfl-cj2ba-ghdnd-kcrfo-xavdb-ebean-mqe,0.005031446540880503,13763,5,0.0003631609529343405,0,
2025-12-16,rkzu3-pcime-656cn-67oho-rkmjy-ko335-tjxqq-cd3cc-zmv4f-3kgug-pae,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-16,2mjgp-xtlo2-elgwk-onn5k-7uhh7-erq34-vr24g-imzfx-pr72w-mewn6-aqe,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-16,5i7he-lt457-b3ov6-fsi2c-pufn7-4i2mp-zkacf-4yysn-7fhr6-zfxg2-4qe,type1.1,"North America,US,Georgia",at2,Assigned,1,352197.1252566735,352197.1252566735,e66qm-3cydn-nkf4i-ml4rb-4ro6o-srm5s-x5hwq-hnprz-3meqp-s7vks-5qe,0.011953645405602701,10746,12,0.0011154489682097045,0,
2025-12-16,jd4tu-jujfx-r4jhd-64yek-3s34j-3qw73-443cu-um6ng-6me6p-r5jwl-3ae,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
2025-12-16,cvic3-6mmjj-2zszr-mr727-im4l5-skwod-gzrg2-avd4i-bahw3-xyx3l-2ae,type1.1,"North America,US,Georgia",at2,Assigned,1,352197.1252566735,352197.1252566735,4zbus-z2bmt-ilreg-xakz4-6tyre-hsqj4-slb4g-zjwqo-snjcc-iqphi-3qe,0.053446418955304255,7475,217,0.028211128445137807,0,
2025-12-16,7zf3w-emnhk-7yhl4-sxvmx-wxgle-2hatv-hagfv-ybpxo-jglsx-fgadx-hae,type1.1,"North America,US,Georgia",at2,Unassigned,1,352197.1252566735,352197.1252566735,,,,,,,0
