day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,4617987,4617987,100.00,14,5,0,
2025-12-15,4617987,4617987,100.00,14,5,0,
2025-12-16,4617987,4617987,100.00,14,5,0,
2025-12-17,4617987,4617987,100.00,14,5,0,
2025-12-18,4617987,4617987,100.00,14,5,0,
2025-12-19,4617987,4617987,100.00,14,5,0,
2025-12-20,4617987,4617987,100.00,14,5,0,
2025-12-21,4617987,4617987,100.00,14,5,0,
2025-12-22,4617987,4578503,99.14,14,5,1,wh2dv
2025-12-23,4617987,4617987,100.00,14,5,0,
2025-12-24,4617987,4617987,100.00,14,5,0,
2025-12-25,4617987,4617987,100.00,14,5,0,
2025-12-26,4617987,4617987,100.00,14,5,0,
2025-12-27,4617987,4617987,100.00,14,5,0,
2025-12-28,4617987,4617987,100.00,14,5,0,
2025-12-29,4617987,4617987,100.00,14,5,0,
2025-12-30,4617987,4617987,100.00,14,5,0,
2025-12-31,4617987,4617987,100.00,14,5,0,
2026-1-1,4617987,4617987,100.00,14,5,0,
2026-1-2,4617987,4617987,100.00,14,5,0,
2026-1-3,4617987,4617987,100.00,14,5,0,
2026-1-4,4617987,4617987,100.00,14,5,0,
2026-1-5,4617987,4617987,100.00,14,5,0,
2026-1-6,4617987,4617987,100.00,14,5,0,
2026-1-7,4617987,4617987,100.00,14,5,0,
2026-1-8,4617987,4617987,100.00,14,5,0,
2026-1-9,4617987,4617987,100.00,14,5,0,
2026-1-10,4617987,4617987,100.00,14,5,0,
2026-1-11,4617987,4617987,100.00,14,5,0,
2026-1-12,4617987,4617987,100.00,14,5,0,
