node_id,day_utc,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2025-12-14,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2025-12-15,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2025-12-16,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2025-12-17,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2025-12-18,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2025-12-19,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2025-12-20,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2025-12-21,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0.0006022240652663294
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2025-12-22,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2025-12-23,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2025-12-24,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0.00016464129276586294
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2025-12-25,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2025-12-26,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2025-12-27,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2025-12-28,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2025-12-29,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2025-12-30,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2025-12-31,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2026-1-1,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2026-1-2,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2026-1-3,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0.03975633301750184
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2026-1-4,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0.004046954765433996
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2026-1-5,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2026-1-6,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2026-1-7,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2026-1-8,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2026-1-9,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2026-1-10,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2026-1-11,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,2026-1-12,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2025-12-14,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2025-12-15,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2025-12-16,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2025-12-17,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2025-12-18,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2025-12-19,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2025-12-20,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2025-12-21,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0.0006022240652663294
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2025-12-22,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2025-12-23,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2025-12-24,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0.00016464129276586294
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2025-12-25,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2025-12-26,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2025-12-27,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2025-12-28,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2025-12-29,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2025-12-30,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2025-12-31,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2026-1-1,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2026-1-2,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2026-1-3,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0.03975633301750184
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2026-1-4,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0.004046954765433996
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2026-1-5,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2026-1-6,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2026-1-7,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2026-1-8,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,2026-1-9,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
