day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2025-12-14,12930833,424832.295687885,type3.1,"North America,US,Utah"
2025-12-15,12930833,424832.295687885,type3.1,"North America,US,Utah"
2025-12-16,12930833,424832.295687885,type3.1,"North America,US,Utah"
2025-12-17,12930833,424832.295687885,type3.1,"North America,US,Utah"
2025-12-18,12930833,424832.295687885,type3.1,"North America,US,Utah"
2025-12-19,12930833,424832.295687885,type3.1,"North America,US,Utah"
2025-12-20,12930833,424832.295687885,type3.1,"North America,US,Utah"
2025-12-21,12930833,424832.295687885,type3.1,"North America,US,Utah"
2025-12-22,12930833,424832.295687885,type3.1,"North America,US,Utah"
2025-12-23,12930833,424832.295687885,type3.1,"North America,US,Utah"
2025-12-24,12930833,424832.295687885,type3.1,"North America,US,Utah"
2025-12-25,12930833,424832.295687885,type3.1,"North America,US,Utah"
2025-12-26,12930833,424832.295687885,type3.1,"North America,US,Utah"
2025-12-27,12930833,424832.295687885,type3.1,"North America,US,Utah"
2025-12-28,12930833,424832.295687885,type3.1,"North America,US,Utah"
2025-12-29,12930833,424832.295687885,type3.1,"North America,US,Utah"
2025-12-30,12930833,424832.295687885,type3.1,"North America,US,Utah"
2025-12-31,12930833,424832.295687885,type3.1,"North America,US,Utah"
2026-1-1,12930833,424832.295687885,type3.1,"North America,US,Utah"
2026-1-2,12930833,424832.295687885,type3.1,"North America,US,Utah"
2026-1-3,12930833,424832.295687885,type3.1,"North America,US,Utah"
2026-1-4,12930833,424832.295687885,type3.1,"North America,US,Utah"
2026-1-5,12930833,424832.295687885,type3.1,"North America,US,Utah"
2026-1-6,12930833,424832.295687885,type3.1,"North America,US,Utah"
2026-1-7,12930833,424832.295687885,type3.1,"North America,US,Utah"
2026-1-8,12930833,424832.295687885,type3.1,"North America,US,Utah"
2026-1-9,12930833,424832.295687885,type3.1,"North America,US,Utah"
2026-1-10,12930833,424832.295687885,type3.1,"North America,US,Utah"
2026-1-11,12930833,424832.295687885,type3.1,"North America,US,Utah"
2026-1-12,12930833,424832.295687885,type3.1,"North America,US,Utah"
