day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,15675400,15634028,99.74,42,12,1,ikdvw
2025-12-15,15675400,15491952,98.83,42,12,1,ikdvw
2025-12-16,15675400,15675400,100.00,42,12,0,
2025-12-17,15675400,15623505,99.67,42,12,1,ikdvw
2025-12-18,15675400,15431375,98.44,42,12,1,ikdvw
2025-12-19,15675400,15675400,100.00,42,12,0,
2025-12-20,15675400,15675400,100.00,42,12,0,
2025-12-21,15675400,15622728,99.66,42,12,1,ikdvw
2025-12-22,15675400,15675400,100.00,42,12,0,
2025-12-23,15675400,15673595,99.99,42,12,1,wbz2k
2025-12-24,15675400,15675400,100.00,42,12,0,
2025-12-25,15675400,15675400,100.00,42,12,0,
2025-12-26,15675400,15675400,100.00,42,12,0,
2025-12-27,15675400,15675400,100.00,42,12,0,
2025-12-28,15675400,15675400,100.00,42,12,0,
2025-12-29,15675400,15675400,100.00,42,12,0,
2025-12-30,15675400,15669620,99.96,42,12,1,wbz2k
2025-12-31,15675400,15675400,100.00,42,12,0,
2026-1-1,15675400,15675400,100.00,42,12,0,
2026-1-2,15675400,15675400,100.00,42,12,0,
2026-1-3,15675400,15675400,100.00,42,12,0,
2026-1-4,15675400,15675400,100.00,42,12,0,
2026-1-5,15675400,15675400,100.00,42,12,0,
2026-1-6,15675400,15675400,100.00,42,12,0,
2026-1-7,15675400,15675400,100.00,42,12,0,
2026-1-8,15675400,15675400,100.00,42,12,0,
2026-1-9,15675400,15675400,100.00,42,12,0,
2026-1-10,15675400,15675400,100.00,42,12,0,
2026-1-11,15675400,15675400,100.00,42,12,0,
2026-1-12,15675400,15631117,99.72,42,12,1,ikdvw
