day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,9460412,8863513,93.69,13,11,1,awmdh
2025-12-15,9460412,8849015,93.54,13,11,4,"3y7fy, awmdh, h3gd6, lj3ve"
2025-12-16,9460412,8863513,93.69,13,11,1,awmdh
2025-12-17,9460412,8863513,93.69,13,11,1,awmdh
2025-12-18,9460412,8863513,93.69,13,11,1,awmdh
2025-12-19,9460412,8863513,93.69,13,11,1,awmdh
2025-12-20,9460412,8863513,93.69,13,11,1,awmdh
2025-12-21,9460412,8863513,93.69,13,11,1,awmdh
2025-12-22,9460412,8863513,93.69,13,11,1,awmdh
2025-12-23,9460412,8863513,93.69,13,11,1,awmdh
2025-12-24,9460412,8863513,93.69,13,11,1,awmdh
2025-12-25,9460412,8863513,93.69,13,11,1,awmdh
2025-12-26,9460412,8863513,93.69,13,11,1,awmdh
2025-12-27,9460412,8863513,93.69,13,11,1,awmdh
2025-12-28,9460412,8863513,93.69,13,11,1,awmdh
2025-12-29,9460412,8863513,93.69,13,11,1,awmdh
2025-12-30,9460412,8863513,93.69,13,11,1,awmdh
2025-12-31,9460412,8863513,93.69,13,11,1,awmdh
2026-1-1,9460412,8863513,93.69,13,11,1,awmdh
2026-1-2,9460412,8863513,93.69,13,11,1,awmdh
2026-1-3,9460412,8863513,93.69,13,11,1,awmdh
2026-1-4,9460412,8863513,93.69,13,11,1,awmdh
2026-1-5,9460412,8863513,93.69,13,11,1,awmdh
2026-1-6,9460412,8863513,93.69,13,11,1,awmdh
2026-1-7,9460412,8863513,93.69,13,11,1,awmdh
2026-1-8,9460412,8863513,93.69,13,11,1,awmdh
2026-1-9,9460412,8863513,93.69,13,11,1,awmdh
2026-1-10,9460412,8863513,93.69,13,11,1,awmdh
2026-1-11,9460412,8863513,93.69,13,11,1,awmdh
2026-1-12,9460412,8863513,93.69,13,11,1,awmdh
