day_utc,node_id,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
2025-12-14,cp7d4-uiulo-a46se-yzti4-6qpmz-4rhug-d6rln-7aa5r-nc63x-6q7u7-aae,type3.1,"Asia,GE,Tbilisi",tb1,Assigned,1,526778.4751806906,526778.4751806906,xok3w-cnepj-fg6aa-cjitt-uoxod-4ddsy-nc7dq-zwudz-o6jar-rzstb-gqe,0.0003826774666751706,15476,77,0.004950813347907156,0.004568135881231986,
2025-12-14,um4so-2axl2-74745-lhyhn-afhgh-yog7e-pcsso-mxxho-7x5ev-x65uz-eqe,type3.1,"Europe,LT,Vilnius",vl2,Assigned,1,436503.8972803608,436503.8972803608,lhg73-sax6z-2zank-6oer2-575lz-zgbxx-ptudx-5korm-fy7we-kh4hl-pqe,0.004169961895175786,13851,58,0.004169961895175786,0,
2025-12-14,dur57-qqxpo-wmql5-bd7cz-atitx-5ivxi-ht3ni-lvb43-ms4w4-uyep4-iae,type3.1,"Asia,GE,Tbilisi",tb1,Assigned,1,526778.4751806906,526778.4751806906,mpubz-g52jc-grhjo-5oze5-qcj74-sex34-omprz-ivnsm-qvvhr-rfzpv-vae,0.015233616194663123,9238,541,0.05532263012577973,0.040089013931116614,
2025-12-14,627qw-ey6wj-efg3t-76ixt-o2x5p-r6bmb-vf4c6-ycmyy-oiba5-wloig-dqe,type3.1,"Europe,LT,Vilnius",vl2,Unassigned,1,436503.8972803608,436503.8972803608,,,,,,,0.009307540531166072
2025-12-14,pbqnn-6zb64-huvru-cglip-75dzs-mm33v-xhkki-av6ev-mshix-f5dnu-tae,type3.1,"Europe,LT,Vilnius",vl2,Unassigned,1,436503.8972803608,436503.8972803608,,,,,,,0.009307540531166072
2025-12-14,hey4c-lbdkr-wjfc4-fpohq-ri6ev-2rebg-2buxb-frnpi-x67sx-edxgr-zae,type3.1,"Asia,GE,Tbilisi",tb1,Unassigned,1,526778.4751806906,526778.4751806906,,,,,,,0.009307540531166072
2025-12-14,dqhdk-ebgsg-zvcgz-wbwja-xdmng-li73v-yrkd2-mblw5-li2wp-blgx5-eqe,type3.1,"Asia,GE,Tbilisi",tb1,Assigned,1,526778.4751806906,526778.4751806906,snjp4-xlbw4-mnbog-ddwy6-6ckfd-2w5a2-eipqo-7l436-pxqkh-l6fuv-vae,0.009827503264380456,14408,494,0.03314991276338747,0.02332240949900701,
2025-12-14,ami6p-hbo6h-zqoh2-lfqs7-44lch-tlkzt-skuxx-wyxs2-anezm-z2gxp-3ae,type3.1,"Asia,GE,Tbilisi",tb1,Assigned,1,526778.4751806906,526778.4751806906,csyj4-zmann-ys6ge-3kzi6-onexi-obayx-2fvak-zersm-euci4-6pslt-lae,0.0013761467889908258,14749,337,0.022338592072119846,0.020962445283129023,
2025-12-14,7meyc-3kacw-uidhh-kqorx-mziq5-hnr2e-qhhcq-mgjpp-j6sep-73gvv-nae,type3.1,"Europe,LT,Vilnius",vl2,Unassigned,1,436503.8972803608,436503.8972803608,,,,,,,0.009307540531166072
2025-12-14,q3sji-7croe-uqcsz-rva4e-orlkf-c4y44-b2sl4-shnns-l57fz-fn2wa-xqe,type3.1,"Asia,GE,Tbilisi",tb1,Assigned,1,526778.4751806906,526778.4751806906,brlsh-zidhj-3yy3e-6vqbz-7xnih-xeq2l-as5oc-g32c4-i5pdn-2wwof-oae,0.03254672157111181,12217,411,0.03254672157111181,0,
2025-12-14,uouxk-c246i-dgxzd-ql3a5-koofn-mclrv-toplo-bg76d-l4dzk-ngb3c-nae,type3.1,"Asia,GE,Tbilisi",tb1,Assigned,1,526778.4751806906,526778.4751806906,5kdm2-62fc6-fwnja-hutkz-ycsnm-4z33i-woh43-4cenu-ev7mi-gii6t-4ae,0.00796136778908901,14975,331,0.021625506337384033,0.013664138548295022,
2025-12-14,femah-ntebg-2txyb-6ixyr-kl62n-aoqmx-pxu7y-imzup-o72wc-qfosh-kae,type3.1,"Asia,GE,Tbilisi",tb1,Assigned,1,526778.4751806906,526778.4751806906,jtdsg-3h6gi-hs7o5-z2soi-43w3z-soyl3-ajnp3-ekni5-sw553-5kw67-nqe,0.006875954993749132,13927,365,0.025538762944304506,0.018662807950555374,
2025-12-14,r5zha-ytiej-livta-dgmfr-j6kma-rdl4t-hldjg-hbydh-ogyjt-fow5r-4qe,type3.1,"Asia,GE,Tbilisi",tb1,Assigned,1,526778.4751806906,526778.4751806906,yinp6-35cfo-wgcd2-oc4ty-2kqpf-t4dul-rfk33-fsq3r-mfmua-m2ngh-jqe,0.002264639275315432,15216,180,0.011691348402182385,0.009426709126866953,
2025-12-14,vgpqf-udio2-pndqt-qweze-okgmn-yzqh6-i7ym4-mospu-sxsn7-khoxs-wqe,type3.1,"Europe,LT,Vilnius",vl2,Unassigned,1,436503.8972803608,436503.8972803608,,,,,,,0.009307540531166072
2025-12-14,ldqxr-qdliy-howvj-2tamr-3fwul-liakv-7523k-tmhrz-5geyk-jlu7b-uae,type3.1,"Europe,LT,Vilnius",vl2,Assigned,1,436503.8972803608,436503.8972803608,bkfrj-6k62g-dycql-7h53p-atvkj-zg4to-gaogh-netha-ptybj-ntsgw-rqe,0.00006588483331137172,14992,0,0,0,
2025-12-14,ognrk-q4exl-3wf25-yrrsy-mtezk-e3qww-k6s5v-2pikz-gto6z-dyl2y-eae,type3.1,"Asia,GE,Tbilisi",tb1,Assigned,1,526778.4751806906,526778.4751806906,vcpt7-niq42-6snup-7kcgy-cndz6-srq6n-h6vwi-oswri-a3guc-v5ssd-5qe,0.0015345609821190286,15141,24,0.0015825914935707222,0.0000480305114516935,
2025-12-14,7r7go-kuy2d-xradp-g2yf6-64ft4-tza2v-nbs66-jnxp6-37dda-d6or2-fqe,type3.1,"Asia,GE,Tbilisi",tb1,Unassigned,1,526778.4751806906,526778.4751806906,,,,,,,0.009307540531166072
2025-12-14,txh2c-fneot-jj3ys-cx355-22tvp-cw3az-ohxyy-rk7ok-d7ppu-efk4t-iqe,type3.1,"Asia,GE,Tbilisi",tb1,Unassigned,1,526778.4751806906,526778.4751806906,,,,,,,0.009307540531166072
2025-12-14,sspbf-fne25-z7m5y-imq3z-ihf3v-qbyhd-ohrqp-zzfk3-dbuu3-zs7se-pqe,type3.1,"Asia,GE,Tbilisi",tb1,Unassigned,1,526778.4751806906,526778.4751806906,,,,,,,0.009307540531166072
2025-12-14,l7nbu-afo7y-adwcg-m6ivf-cooqw-v3pwd-jf4w3-kgsbr-tek3p-7n3dh-3ae,type3.1,"Asia,GE,Tbilisi",tb1,Assigned,1,526778.4751806906,526778.4751806906,o3ow2-2ipam-6fcjo-3j5vt-fzbge-2g7my-5fz2m-p4o2t-dwlc4-gt2q7-5ae,0.010553776829123682,8067,257,0.030874579529072563,0.020320802699948882,
