day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2025-12-14,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2025-12-14,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2025-12-15,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2025-12-15,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2025-12-16,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2025-12-16,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2025-12-17,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2025-12-17,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2025-12-18,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2025-12-18,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2025-12-19,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2025-12-19,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2025-12-20,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2025-12-20,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2025-12-21,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2025-12-21,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2025-12-22,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2025-12-22,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2025-12-23,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2025-12-23,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2025-12-24,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2025-12-24,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2025-12-25,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2025-12-25,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2025-12-26,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2025-12-26,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2025-12-27,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2025-12-27,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2025-12-28,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2025-12-28,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2025-12-29,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2025-12-29,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2025-12-30,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2025-12-30,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2025-12-31,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2025-12-31,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2026-1-1,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2026-1-1,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2026-1-2,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2026-1-2,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2026-1-3,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2026-1-3,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2026-1-4,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2026-1-4,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2026-1-5,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2026-1-5,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2026-1-6,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2026-1-6,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2026-1-7,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2026-1-7,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2026-1-8,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2026-1-8,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2026-1-9,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2026-1-9,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2026-1-10,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2026-1-10,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2026-1-11,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2026-1-11,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
2026-1-12,15415000,506447.6386036961,type3.1,"Europe,ES,Barcelona"
2026-1-12,11360000,373223.81930184807,type1.1,"Europe,CH,Geneva"
