day_utc,region,nodes_count,avg_rewards_xdr_permyriad,avg_coefficient,daily_xdr_permyriad
2025-12-14,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2025-12-15,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2025-12-16,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2025-12-17,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2025-12-18,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2025-12-19,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2025-12-20,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2025-12-21,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2025-12-22,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2025-12-23,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2025-12-24,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2025-12-25,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2025-12-26,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2025-12-27,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2025-12-28,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2025-12-29,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2025-12-30,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2025-12-31,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2026-1-1,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2026-1-2,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2026-1-3,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2026-1-4,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2026-1-5,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2026-1-6,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2026-1-7,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2026-1-8,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2026-1-9,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2026-1-10,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2026-1-11,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
2026-1-12,Europe:ES,8,506447.6386036961,0.95,426149.8194397619
