day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,8634332,8634332,100.00,22,11,0,
2025-12-15,8634332,8634332,100.00,22,11,0,
2025-12-16,8634332,8634332,100.00,22,11,0,
2025-12-17,8634332,8634332,100.00,22,11,0,
2025-12-18,8634332,8634332,100.00,22,11,0,
2025-12-19,8634332,8634332,100.00,22,11,0,
2025-12-20,8634332,8634332,100.00,22,11,0,
2025-12-21,8634332,8634332,100.00,22,11,0,
2025-12-22,8634332,8634332,100.00,22,11,0,
2025-12-23,8634332,8634332,100.00,22,11,0,
2025-12-24,8634332,8634332,100.00,22,11,0,
2025-12-25,8634332,8634332,100.00,22,11,0,
2025-12-26,8634332,8634332,100.00,22,11,0,
2025-12-27,8634332,8634332,100.00,22,11,0,
2025-12-28,8634332,8634332,100.00,22,11,0,
2025-12-29,8634332,8634332,100.00,22,11,0,
2025-12-30,8634332,8634332,100.00,22,11,0,
2025-12-31,8634332,8634332,100.00,22,11,0,
2026-1-1,8634332,8634332,100.00,22,11,0,
2026-1-2,8634332,8634332,100.00,22,11,0,
2026-1-3,8634332,8634332,100.00,22,11,0,
2026-1-4,8634332,8634332,100.00,22,11,0,
2026-1-5,8634332,8634332,100.00,22,11,0,
2026-1-6,8634332,8634332,100.00,22,11,0,
2026-1-7,8634332,8634332,100.00,22,11,0,
2026-1-8,8634332,8634332,100.00,22,11,0,
2026-1-9,8634332,8634332,100.00,22,11,0,
2026-1-10,8634332,8634332,100.00,22,11,0,
2026-1-11,8634332,8634332,100.00,22,11,0,
2026-1-12,8634332,8634332,100.00,22,11,0,
