day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2025-12-14,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2025-12-14,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2025-12-15,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2025-12-15,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2025-12-16,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2025-12-16,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2025-12-17,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2025-12-17,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2025-12-18,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2025-12-18,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2025-12-19,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2025-12-19,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2025-12-20,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2025-12-20,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2025-12-21,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2025-12-21,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2025-12-22,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2025-12-22,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2025-12-23,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2025-12-23,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2025-12-24,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2025-12-24,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2025-12-25,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2025-12-25,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2025-12-26,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2025-12-26,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2025-12-27,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2025-12-27,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2025-12-28,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2025-12-28,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2025-12-29,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2025-12-29,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2025-12-30,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2025-12-30,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2025-12-31,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2025-12-31,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2026-1-1,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2026-1-1,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2026-1-2,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2026-1-2,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2026-1-3,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2026-1-3,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2026-1-4,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2026-1-4,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2026-1-5,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2026-1-5,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2026-1-6,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2026-1-6,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2026-1-7,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2026-1-7,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2026-1-8,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2026-1-8,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2026-1-9,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2026-1-9,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2026-1-10,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2026-1-10,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2026-1-11,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2026-1-11,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
2026-1-12,11520000,378480.49281314167,type1.1,"Europe,SI,Ljubljana"
2026-1-12,11520000,378480.49281314167,type1.1,"Europe,SI,Maribor"
