day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,15517700,15517700,100.00,41,31,0,
2025-12-15,15896180,15896180,100.00,42,31,0,
2025-12-16,15896180,15896180,100.00,42,31,0,
2025-12-17,15896180,15896180,100.00,42,31,0,
2025-12-18,15896180,15896180,100.00,42,31,0,
2025-12-19,15896180,15896180,100.00,42,31,0,
2025-12-20,15896180,15896180,100.00,42,31,0,
2025-12-21,15896180,15896180,100.00,42,31,0,
2025-12-22,15896180,15896180,100.00,42,31,0,
2025-12-23,15896180,15896180,100.00,42,31,0,
2025-12-24,15896180,15896180,100.00,42,31,0,
2025-12-25,15896180,15896180,100.00,42,31,0,
2025-12-26,15896180,15896180,100.00,42,31,0,
2025-12-27,15896180,15896180,100.00,42,31,0,
2025-12-28,15896180,15896180,100.00,42,31,0,
2025-12-29,15896180,15896180,100.00,42,31,0,
2025-12-30,15896180,15896180,100.00,42,31,0,
2025-12-31,15896180,15896180,100.00,42,31,0,
2026-1-1,15896180,15896180,100.00,42,31,0,
2026-1-2,15896180,15896180,100.00,42,31,0,
2026-1-3,15896180,15896180,100.00,42,31,0,
2026-1-4,15896180,15835275,99.62,42,31,1,3wc5p
2026-1-5,15896180,15593396,98.10,42,31,1,3wc5p
2026-1-6,15896180,15396556,96.86,42,31,3,"3wc5p, uzy2p, x3t5j"
2026-1-7,15896180,15593396,98.10,42,31,1,3wc5p
2026-1-8,15896180,15593396,98.10,42,31,1,3wc5p
2026-1-9,15896180,15593396,98.10,42,31,1,3wc5p
2026-1-10,15896180,15593396,98.10,42,31,1,3wc5p
2026-1-11,15896180,15593396,98.10,42,31,1,3wc5p
2026-1-12,15896180,15593396,98.10,42,31,1,3wc5p
