day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2025-12-14,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2025-12-14,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2025-12-15,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2025-12-15,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2025-12-16,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2025-12-16,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2025-12-17,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2025-12-17,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2025-12-18,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2025-12-18,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2025-12-19,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2025-12-19,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2025-12-20,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2025-12-20,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2025-12-21,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2025-12-21,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2025-12-22,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2025-12-22,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2025-12-23,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2025-12-23,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2025-12-24,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2025-12-24,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2025-12-25,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2025-12-25,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2025-12-26,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2025-12-26,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2025-12-27,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2025-12-27,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2025-12-28,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2025-12-28,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2025-12-29,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2025-12-29,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2025-12-30,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2025-12-30,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2025-12-31,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2025-12-31,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2026-1-1,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2026-1-1,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2026-1-2,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2026-1-2,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2026-1-3,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2026-1-3,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2026-1-4,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2026-1-4,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2026-1-5,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2026-1-5,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2026-1-6,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2026-1-6,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2026-1-7,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2026-1-7,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2026-1-8,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2026-1-8,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2026-1-9,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2026-1-9,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2026-1-10,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2026-1-10,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2026-1-11,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2026-1-11,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
2026-1-12,10720000,352197.1252566735,type1.1,"North America,US,Florida"
2026-1-12,10720000,352197.1252566735,type1.1,"North America,US,Georgia"
