day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,14792279,14510521,98.10,42,12,1,7vdar
2025-12-15,14792279,14792279,100.00,42,12,0,
2025-12-16,14792279,14792279,100.00,42,12,0,
2025-12-17,14792279,14792279,100.00,42,12,0,
2025-12-18,14792279,14792279,100.00,42,12,0,
2025-12-19,14792279,14792279,100.00,42,12,0,
2025-12-20,14792279,14792279,100.00,42,12,0,
2025-12-21,14792279,14792279,100.00,42,12,0,
2025-12-22,14792279,14792279,100.00,42,12,0,
2025-12-23,14792279,14792279,100.00,42,12,0,
2025-12-24,14792279,14792279,100.00,42,12,0,
2025-12-25,14792279,14792279,100.00,42,12,0,
2025-12-26,14792279,14792279,100.00,42,12,0,
2025-12-27,14792279,14792279,100.00,42,12,0,
2025-12-28,14792279,14792279,100.00,42,12,0,
2025-12-29,14792279,14792279,100.00,42,12,0,
2025-12-30,14792279,14792279,100.00,42,12,0,
2025-12-31,14792279,14792279,100.00,42,12,0,
2026-1-1,14792279,14792279,100.00,42,12,0,
2026-1-2,14792279,14792279,100.00,42,12,0,
2026-1-3,14792279,14792279,100.00,42,12,0,
2026-1-4,14792279,14792279,100.00,42,12,0,
2026-1-5,14792279,14792279,100.00,42,12,0,
2026-1-6,14792279,14792279,100.00,42,12,0,
2026-1-7,14792279,14792279,100.00,42,12,0,
2026-1-8,14792279,14792279,100.00,42,12,0,
2026-1-9,14792279,14792279,100.00,42,12,0,
2026-1-10,14792279,14792279,100.00,42,12,0,
2026-1-11,14792279,14792279,100.00,42,12,0,
2026-1-12,14792279,14792279,100.00,42,12,0,
