day_utc,node_id,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
2025-12-17,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-18,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-19,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-20,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-21,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-22,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-23,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-24,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-25,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-26,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-27,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-28,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-29,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-30,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2025-12-31,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-1,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-2,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-3,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-4,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
2026-1-5,ugktj-anayx-3xzbp-hznv5-aznxn-5nodb-4ahcq-7og6o-hzazt-7ziym-zae,type3.1,"Europe,CH,Valais",vs1,Unassigned,1,506447.6386036961,506447.6386036961,,,,,,,0
