day_utc,base_rewards_total,adjusted_rewards_total,adjusted_rewards_percent,nodes_in_registry,assigned_nodes,underperforming_nodes_count,underperforming_nodes
2025-12-14,7402540,7402540,100.00,15,13,0,
2025-12-15,7402540,7402540,100.00,15,13,0,
2025-12-16,7402540,7402540,100.00,15,13,0,
2025-12-17,7402540,7402540,100.00,15,13,0,
2025-12-18,7402540,7402540,100.00,15,13,0,
2025-12-19,7402540,7402540,100.00,15,13,0,
2025-12-20,7402540,7402540,100.00,15,13,0,
2025-12-21,7402540,7402540,100.00,15,13,0,
2025-12-22,7402540,7402540,100.00,15,13,0,
2025-12-23,7402540,7402540,100.00,15,13,0,
2025-12-24,7402540,7402540,100.00,15,13,0,
2025-12-25,7402540,7402540,100.00,15,13,0,
2025-12-26,7402540,7402540,100.00,15,13,0,
2025-12-27,7402540,7402540,100.00,15,13,0,
2025-12-28,7402540,7402540,100.00,15,13,0,
2025-12-29,7402540,7402540,100.00,15,13,0,
2025-12-30,7402540,7402540,100.00,15,13,0,
2025-12-31,7402540,7402540,100.00,15,13,0,
2026-1-1,7402540,7402540,100.00,15,13,0,
2026-1-2,7402540,7402540,100.00,15,13,0,
2026-1-3,7402540,7402540,100.00,15,13,0,
2026-1-4,7402540,7402540,100.00,15,13,0,
2026-1-5,7402540,7402540,100.00,15,13,0,
2026-1-6,7402540,7402540,100.00,15,13,0,
2026-1-7,7402540,7402540,100.00,15,13,0,
2026-1-8,7402540,7402540,100.00,15,13,0,
2026-1-9,7402540,7402540,100.00,15,13,0,
2026-1-10,7402540,7402540,100.00,15,13,0,
2026-1-11,7402540,7402540,100.00,15,13,0,
2026-1-12,7402540,7402540,100.00,15,13,0,
