node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
klqlw,Type1dot1,"North America,CA,Ontario",to1,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,02-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,03-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
klqlw,Type1dot1,"North America,CA,Ontario",to1,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,02-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,03-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
yakc4,Type1dot1,"North America,CA,Ontario",to1,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,357453.7987,357453.7987
