day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,10008706.3655,28,
15-06-2025,10008706.3655,28,
16-06-2025,10008706.3655,28,
17-06-2025,10008706.3655,28,
18-06-2025,10008706.3655,28,
19-06-2025,10008706.3655,28,
20-06-2025,10008706.3655,28,
21-06-2025,10008706.3655,28,
22-06-2025,10008706.3655,28,
23-06-2025,10008706.3655,28,
24-06-2025,10008706.3655,28,
25-06-2025,10008706.3655,28,
26-06-2025,10008706.3655,28,
27-06-2025,10008706.3655,28,
28-06-2025,10008706.3655,28,
29-06-2025,10008706.3655,28,
30-06-2025,10008706.3655,28,
01-07-2025,10008706.3655,28,
02-07-2025,10008706.3655,28,
03-07-2025,10008706.3655,28,
04-07-2025,10008706.3655,28,
05-07-2025,10008706.3655,28,
06-07-2025,10008706.3655,28,
07-07-2025,10008706.3655,28,
08-07-2025,10008706.3655,28,
09-07-2025,10008706.3655,28,
10-07-2025,10008706.3655,28,
11-07-2025,10008706.3655,28,
12-07-2025,10008706.3655,28,
13-07-2025,10008706.3655,28,
