node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,14-06-2025,assigned,tdb26,0.0028,3761,45,0.0118,0.0090,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,15-06-2025,assigned,tdb26,0.0018,3781,39,0.0102,0.0083,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,16-06-2025,assigned,tdb26,0.0021,3679,174,0.0451,0.0430,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,17-06-2025,assigned,tdb26,0.0020,3911,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,18-06-2025,assigned,tdb26,0.0026,3843,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,19-06-2025,assigned,tdb26,0.0035,3855,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,20-06-2025,assigned,tdb26,0.0017,3758,10,0.0026,0.0008,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,21-06-2025,assigned,tdb26,0.0012,3832,1,0.0002,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,22-06-2025,assigned,tdb26,0.0025,3934,1,0.0002,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,23-06-2025,assigned,tdb26,0.0028,3781,1,0.0002,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,24-06-2025,assigned,tdb26,0.0031,3826,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,25-06-2025,assigned,tdb26,0.0031,3837,14,0.0036,0.0005,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,26-06-2025,assigned,tdb26,0.0032,3604,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,27-06-2025,assigned,tdb26,0.0034,3642,3,0.0008,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,28-06-2025,assigned,tdb26,0.0016,3623,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,29-06-2025,assigned,tdb26,0.0018,3848,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,30-06-2025,assigned,tdb26,0.0048,3870,9,0.0023,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,01-07-2025,assigned,tdb26,0.0017,3911,1,0.0002,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,02-07-2025,assigned,tdb26,0.0017,3998,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,03-07-2025,assigned,tdb26,0.0017,3990,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,04-07-2025,assigned,tdb26,0.0012,3899,2,0.0005,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,05-07-2025,assigned,tdb26,0.0017,3974,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,06-07-2025,assigned,tdb26,0.0046,3878,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,07-07-2025,assigned,tdb26,0.0061,3872,2,0.0005,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,08-07-2025,assigned,tdb26,0.0030,4003,2,0.0004,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,09-07-2025,assigned,tdb26,0.0044,3803,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,10-07-2025,assigned,tdb26,0.0033,3995,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,11-07-2025,assigned,tdb26,0.0035,3904,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,12-07-2025,assigned,tdb26,0.0017,3889,1,0.0002,0.0000,,1.0000,0.0000,506447.6386,506447.6386
ouffe,Type3dot1,"Europe,PL,Warszawa",wa3,13-07-2025,assigned,tdb26,0.0017,4099,4,0.0009,0.0000,,1.0000,0.0000,506447.6386,506447.6386
