node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
7tqgr,Type3,"Asia,KR,Seoul",sl1,14-06-2025,unassigned,,,,,,,0.0114,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,15-06-2025,unassigned,,,,,,,0.0096,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,16-06-2025,unassigned,,,,,,,0.0084,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,17-06-2025,unassigned,,,,,,,0.0204,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,18-06-2025,unassigned,,,,,,,0.0061,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,19-06-2025,unassigned,,,,,,,0.0065,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,20-06-2025,unassigned,,,,,,,0.0074,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,21-06-2025,unassigned,,,,,,,0.0065,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,22-06-2025,unassigned,,,,,,,0.0059,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,23-06-2025,unassigned,,,,,,,0.0043,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,24-06-2025,unassigned,,,,,,,0.0045,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,25-06-2025,unassigned,,,,,,,0.0060,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,26-06-2025,unassigned,,,,,,,0.0036,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,27-06-2025,unassigned,,,,,,,0.0036,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,28-06-2025,unassigned,,,,,,,0.0056,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,29-06-2025,unassigned,,,,,,,0.0060,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,30-06-2025,unassigned,,,,,,,0.0050,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,01-07-2025,unassigned,,,,,,,0.0063,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,02-07-2025,unassigned,,,,,,,0.0058,1.0000,0.0000,554882.7464,554882.7464
7tqgr,Type3,"Asia,KR,Seoul",sl1,03-07-2025,unassigned,,,,,,,0.0063,1.0000,0.0000,554882.7464,554882.7464
