day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,13872068.6623,25,
15-06-2025,13872068.6623,25,
16-06-2025,13872068.6623,25,
17-06-2025,13872068.6623,25,
18-06-2025,13872068.6623,25,
19-06-2025,13872068.6623,25,
20-06-2025,13872068.6623,25,
21-06-2025,13872068.6623,25,
22-06-2025,13872068.6623,25,
23-06-2025,13872068.6623,25,
24-06-2025,13872068.6623,25,
25-06-2025,13872068.6623,25,
26-06-2025,13872068.6623,25,
27-06-2025,13872068.6623,25,
28-06-2025,13872068.6623,25,
29-06-2025,13872068.6623,25,
30-06-2025,13872068.6623,25,
01-07-2025,13872068.6623,25,
02-07-2025,13872068.6623,25,
03-07-2025,13872068.6623,25,
04-07-2025,13872068.6623,25,
05-07-2025,13872068.6623,25,
06-07-2025,13872068.6623,25,
07-07-2025,13872068.6623,25,
08-07-2025,13872068.6623,25,
09-07-2025,13872068.6623,25,
10-07-2025,13872068.6623,25,
11-07-2025,13872068.6623,25,
12-07-2025,13872068.6623,25,
13-07-2025,13872068.6623,25,
