node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,14-06-2025,assigned,pzp6e,0.0017,5108,9,0.0017,0.0000,,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,15-06-2025,assigned,pzp6e,0.0019,5037,9,0.0017,0.0000,,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,16-06-2025,assigned,pzp6e,0.0039,4879,51,0.0103,0.0064,,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,17-06-2025,assigned,pzp6e,0.0019,4997,38,0.0075,0.0055,,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,18-06-2025,assigned,pzp6e,0.0027,5179,22,0.0042,0.0015,,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,19-06-2025,assigned,pzp6e,0.0021,5119,18,0.0035,0.0013,,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,20-06-2025,assigned,pzp6e,0.0009,5265,16,0.0030,0.0020,,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,21-06-2025,assigned,pzp6e,0.0014,4471,6,0.0013,0.0000,,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,22-06-2025,assigned,pzp6e,0.0013,4306,6,0.0013,0.0000,,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,23-06-2025,assigned,pzp6e,0.0027,4647,13,0.0027,0.0000,,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,24-06-2025,assigned,pzp6e,0.0031,5014,16,0.0031,0.0000,,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,25-06-2025,assigned,pzp6e,0.0018,4906,9,0.0018,0.0000,,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,26-06-2025,assigned,pzp6e,0.0028,2998,13,0.0043,0.0014,,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,02-07-2025,unassigned,,,,,,,0.0007,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,03-07-2025,unassigned,,,,,,,0.0001,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,571552.3035,571552.3035
zzuq4,Type3dot1,"Asia,HK,HongKong",hk3,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,571552.3035,571552.3035
