day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,2857761.5178,5,
15-06-2025,2857761.5178,5,
16-06-2025,2857761.5178,5,
17-06-2025,2857761.5178,5,
18-06-2025,2857761.5178,5,
19-06-2025,2857761.5178,5,
20-06-2025,2857761.5178,5,
21-06-2025,2857761.5178,5,
22-06-2025,2857761.5178,5,
23-06-2025,2857761.5178,5,
24-06-2025,2857761.5178,5,
25-06-2025,2857761.5178,5,
26-06-2025,2857761.5178,5,
27-06-2025,2857761.5178,5,
28-06-2025,2857761.5178,5,
29-06-2025,2857761.5178,5,
30-06-2025,2857761.5178,5,
01-07-2025,2857761.5178,5,
02-07-2025,2857761.5178,5,
03-07-2025,2857761.5178,5,
04-07-2025,2857761.5178,5,
05-07-2025,2857761.5178,5,
06-07-2025,2857761.5178,5,
07-07-2025,2857761.5178,5,
08-07-2025,2857761.5178,5,
09-07-2025,2857761.5178,5,
10-07-2025,2857761.5178,5,
11-07-2025,2857761.5178,5,
12-07-2025,2857761.5178,5,
13-07-2025,2857761.5178,5,
