day,region,nodes_count,xdr_permyriad
14-06-2025,Europe:LT,5,458272.4400
14-06-2025,Europe:LV,5,458272.4400
15-06-2025,Europe:LT,5,458272.4400
15-06-2025,Europe:LV,5,458272.4400
16-06-2025,Europe:LT,5,458272.4400
16-06-2025,Europe:LV,5,458272.4400
17-06-2025,Europe:LT,5,458272.4400
17-06-2025,Europe:LV,5,458272.4400
18-06-2025,Europe:LT,5,458272.4400
18-06-2025,Europe:LV,5,458272.4400
19-06-2025,Europe:LT,5,458272.4400
19-06-2025,Europe:LV,5,458272.4400
20-06-2025,Europe:LT,5,458272.4400
20-06-2025,Europe:LV,5,458272.4400
21-06-2025,Europe:LT,5,458272.4400
21-06-2025,Europe:LV,5,458272.4400
22-06-2025,Europe:LT,5,458272.4400
22-06-2025,Europe:LV,5,458272.4400
23-06-2025,Europe:LT,5,458272.4400
23-06-2025,Europe:LV,5,458272.4400
24-06-2025,Europe:LT,5,458272.4400
24-06-2025,Europe:LV,5,458272.4400
25-06-2025,Europe:LT,5,458272.4400
25-06-2025,Europe:LV,5,458272.4400
26-06-2025,Europe:LT,5,458272.4400
26-06-2025,Europe:LV,5,458272.4400
27-06-2025,Europe:LT,5,458272.4400
27-06-2025,Europe:LV,5,458272.4400
28-06-2025,Europe:LT,5,458272.4400
28-06-2025,Europe:LV,5,458272.4400
29-06-2025,Europe:LT,5,458272.4400
29-06-2025,Europe:LV,5,458272.4400
30-06-2025,Europe:LT,5,458272.4400
30-06-2025,Europe:LV,5,458272.4400
01-07-2025,Europe:LT,5,458272.4400
01-07-2025,Europe:LV,5,458272.4400
02-07-2025,Europe:LT,5,458272.4400
02-07-2025,Europe:LV,5,458272.4400
03-07-2025,Europe:LT,5,458272.4400
03-07-2025,Europe:LV,5,458272.4400
04-07-2025,Europe:LT,5,458272.4400
04-07-2025,Europe:LV,5,458272.4400
05-07-2025,Europe:LT,5,458272.4400
05-07-2025,Europe:LV,5,458272.4400
06-07-2025,Europe:LT,5,458272.4400
06-07-2025,Europe:LV,5,458272.4400
07-07-2025,Europe:LT,5,458272.4400
07-07-2025,Europe:LV,5,458272.4400
08-07-2025,Europe:LT,5,458272.4400
08-07-2025,Europe:LV,5,458272.4400
09-07-2025,Europe:LT,5,458272.4400
09-07-2025,Europe:LV,5,458272.4400
10-07-2025,Europe:LT,5,458272.4400
10-07-2025,Europe:LV,5,458272.4400
11-07-2025,Europe:LT,5,458272.4400
11-07-2025,Europe:LV,5,458272.4400
12-07-2025,Europe:LT,5,458272.4400
12-07-2025,Europe:LV,5,458272.4400
13-07-2025,Europe:LT,5,458272.4400
13-07-2025,Europe:LV,5,458272.4400
