day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,4582724.4004,10,
15-06-2025,4582724.4004,10,
16-06-2025,4582724.4004,10,
17-06-2025,4582724.4004,10,
18-06-2025,4582724.4004,10,
19-06-2025,4582724.4004,10,
20-06-2025,4582724.4004,10,
21-06-2025,4582724.4004,10,
22-06-2025,4582724.4004,10,
23-06-2025,4582724.4004,10,
24-06-2025,4582724.4004,10,
25-06-2025,4582724.4004,10,
26-06-2025,4582724.4004,10,
27-06-2025,4582724.4004,10,
28-06-2025,4582724.4004,10,
29-06-2025,4582724.4004,10,
30-06-2025,4582724.4004,10,
01-07-2025,4582724.4004,10,
02-07-2025,4582724.4004,10,
03-07-2025,4582724.4004,10,
04-07-2025,4582724.4004,10,
05-07-2025,4582724.4004,10,
06-07-2025,4582724.4004,10,
07-07-2025,4582724.4004,10,
08-07-2025,4582724.4004,10,
09-07-2025,4582724.4004,10,
10-07-2025,4582724.4004,10,
11-07-2025,4582724.4004,10,
12-07-2025,4582724.4004,10,
13-07-2025,4582724.4004,10,
