node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,14-06-2025,unassigned,,,,,,,0.0218,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,15-06-2025,unassigned,,,,,,,0.0198,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,16-06-2025,unassigned,,,,,,,0.0256,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,17-06-2025,unassigned,,,,,,,0.0401,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,18-06-2025,unassigned,,,,,,,0.0287,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,19-06-2025,unassigned,,,,,,,0.0325,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,20-06-2025,unassigned,,,,,,,0.0039,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,21-06-2025,unassigned,,,,,,,0.0047,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,22-06-2025,unassigned,,,,,,,0.0050,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,23-06-2025,unassigned,,,,,,,0.0044,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,24-06-2025,unassigned,,,,,,,0.0062,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,25-06-2025,unassigned,,,,,,,0.0040,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,26-06-2025,unassigned,,,,,,,0.0012,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,27-06-2025,unassigned,,,,,,,0.0011,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,28-06-2025,unassigned,,,,,,,0.0015,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,29-06-2025,unassigned,,,,,,,0.0052,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,30-06-2025,unassigned,,,,,,,0.0068,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,01-07-2025,unassigned,,,,,,,0.0052,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,02-07-2025,unassigned,,,,,,,0.0032,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,03-07-2025,unassigned,,,,,,,0.0023,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,04-07-2025,unassigned,,,,,,,0.0029,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,05-07-2025,unassigned,,,,,,,0.0021,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,06-07-2025,unassigned,,,,,,,0.0078,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,07-07-2025,unassigned,,,,,,,0.0016,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,08-07-2025,unassigned,,,,,,,0.0017,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,09-07-2025,unassigned,,,,,,,0.0050,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,10-07-2025,unassigned,,,,,,,0.0015,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,11-07-2025,unassigned,,,,,,,0.0028,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,12-07-2025,unassigned,,,,,,,0.0009,1.0000,0.0000,544402.8185,544402.8185
32yxi,Type3dot1,"Asia,HK,HongKong",hk4,13-07-2025,unassigned,,,,,,,0.0025,1.0000,0.0000,544402.8185,544402.8185
dtf67,Type3dot1,"Asia,HK,HongKong",hk4,14-06-2025,unassigned,,,,,,,0.0218,1.0000,0.0000,544402.8185,544402.8185
dtf67,Type3dot1,"Asia,HK,HongKong",hk4,15-06-2025,unassigned,,,,,,,0.0198,1.0000,0.0000,544402.8185,544402.8185
dtf67,Type3dot1,"Asia,HK,HongKong",hk4,16-06-2025,unassigned,,,,,,,0.0256,1.0000,0.0000,544402.8185,544402.8185
dtf67,Type3dot1,"Asia,HK,HongKong",hk4,17-06-2025,unassigned,,,,,,,0.0401,1.0000,0.0000,544402.8185,544402.8185
dtf67,Type3dot1,"Asia,HK,HongKong",hk4,18-06-2025,unassigned,,,,,,,0.0287,1.0000,0.0000,544402.8185,544402.8185
dtf67,Type3dot1,"Asia,HK,HongKong",hk4,19-06-2025,unassigned,,,,,,,0.0325,1.0000,0.0000,544402.8185,544402.8185
