day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,9496814.0253,17,wjwzb
15-06-2025,9498648.1751,17,
16-06-2025,9482936.2515,17,wjwzb
17-06-2025,9418302.1007,17,wjwzb
18-06-2025,9472433.5793,17,wjwzb
19-06-2025,9460919.0148,17,wjwzb
20-06-2025,9498648.1751,17,
21-06-2025,9498648.1751,17,
22-06-2025,9498648.1751,17,
23-06-2025,9498648.1751,17,
24-06-2025,9498648.1751,17,
25-06-2025,9498648.1751,17,
26-06-2025,9498648.1751,17,
27-06-2025,9498648.1751,17,
28-06-2025,9498648.1751,17,
29-06-2025,9498648.1751,17,
30-06-2025,9498648.1751,17,
01-07-2025,9498648.1751,17,
02-07-2025,9498648.1751,17,
03-07-2025,9498648.1751,17,
04-07-2025,9498648.1751,17,
05-07-2025,9498648.1751,17,
06-07-2025,9498648.1751,17,
07-07-2025,9498648.1751,17,
08-07-2025,9498648.1751,17,
09-07-2025,9498648.1751,17,
10-07-2025,9498648.1751,17,
11-07-2025,9498648.1751,17,
12-07-2025,9498648.1751,17,
13-07-2025,9498648.1751,17,
