day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,2027104.7227,42,
15-06-2025,2027104.7227,42,"incp3,nhkbm"
16-06-2025,2027104.7227,42,incp3
17-06-2025,2027104.7227,42,incp3
18-06-2025,2027104.7227,42,
19-06-2025,2027104.7227,42,
20-06-2025,2027104.7227,42,
21-06-2025,2027104.7227,42,
22-06-2025,2027104.7227,42,i5xgw
23-06-2025,2027104.7227,42,"3ppfv,i5xgw,6df7i"
24-06-2025,2027104.7227,42,
25-06-2025,2027104.7227,42,
26-06-2025,405420.9445,42,"incp3,nhkbm,dfcny,3ppfv,2yzcy,kjzcx,tnjj3,svosx,jvqnq,klluj,q36yu,t3d5h,6plly,pxxcj,k6zrw,mbsyf,o2ejh,pud2o,xu6mr,3fgii,ihoip,y6mus,diz6c,tjg3r,f63hs,mcm3l,gsrhr,b5pgw,zpp25,cupz3,6df7i,wz42c"
27-06-2025,1349261.9590,42,"incp3,nhkbm,dfcny,3ppfv,2yzcy,kjzcx,tnjj3,svosx,jvqnq,klluj,q36yu,t3d5h,6plly,pxxcj,k6zrw,mbsyf,o2ejh,pud2o,xu6mr,3fgii,ihoip,y6mus,diz6c,tjg3r,f63hs,mcm3l,gsrhr,b5pgw,zpp25,cupz3,6df7i,wz42c"
28-06-2025,2027104.7227,42,incp3
29-06-2025,2027104.7227,42,incp3
30-06-2025,2027104.7227,42,incp3
01-07-2025,2432525.6673,43,nhkbm
02-07-2025,2432525.6673,42,
03-07-2025,2432525.6673,42,
04-07-2025,2432525.6673,42,
05-07-2025,2432525.6673,42,
06-07-2025,2432525.6673,42,
07-07-2025,2432525.6673,42,
08-07-2025,2432525.6673,42,
09-07-2025,2432525.6673,42,
10-07-2025,2432525.6673,42,
11-07-2025,2432525.6673,42,
12-07-2025,2432525.6673,42,nhkbm
13-07-2025,2432525.6673,42,nhkbm
