node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
oaxev,Type1,"Europe,CH,Zurich",zh6,14-06-2025,assigned,opn46,0.0000,12233,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
oaxev,Type1,"Europe,CH,Zurich",zh6,15-06-2025,assigned,opn46,0.0000,12348,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
oaxev,Type1,"Europe,CH,Zurich",zh6,16-06-2025,assigned,opn46,0.0002,12070,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
oaxev,Type1,"Europe,CH,Zurich",zh6,17-06-2025,assigned,opn46,0.0000,12395,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
oaxev,Type1,"Europe,CH,Zurich",zh6,18-06-2025,assigned,opn46,0.0006,12553,8,0.0006,0.0000,,1.0000,0.0000,0.0000,0.0000
oaxev,Type1,"Europe,CH,Zurich",zh6,19-06-2025,assigned,opn46,0.0008,12565,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
oaxev,Type1,"Europe,CH,Zurich",zh6,20-06-2025,assigned,opn46,0.0002,11790,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
oaxev,Type1,"Europe,CH,Zurich",zh6,21-06-2025,assigned,opn46,0.0000,11693,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
oaxev,Type1,"Europe,CH,Zurich",zh6,22-06-2025,assigned,opn46,0.0003,12021,3,0.0002,0.0000,,1.0000,0.0000,0.0000,0.0000
oaxev,Type1,"Europe,CH,Zurich",zh6,23-06-2025,assigned,opn46,0.0006,11847,1,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
oaxev,Type1,"Europe,CH,Zurich",zh6,24-06-2025,assigned,opn46,0.0005,11785,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
oaxev,Type1,"Europe,CH,Zurich",zh6,25-06-2025,assigned,opn46,0.0005,12171,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
oaxev,Type1,"Europe,CH,Zurich",zh6,26-06-2025,assigned,opn46,0.0060,11776,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
oaxev,Type1,"Europe,CH,Zurich",zh6,27-06-2025,assigned,opn46,0.0041,11907,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
oaxev,Type1,"Europe,CH,Zurich",zh6,28-06-2025,assigned,opn46,0.0009,13192,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
oaxev,Type1,"Europe,CH,Zurich",zh6,29-06-2025,assigned,opn46,0.0031,13472,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
oaxev,Type1,"Europe,CH,Zurich",zh6,30-06-2025,assigned,opn46,0.0006,12586,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
