day,region,nodes_count,xdr_permyriad
14-06-2025,Asia:IL,8,570180.9942
14-06-2025,North America:CR,8,596374.7635
15-06-2025,Asia:IL,8,570180.9942
15-06-2025,North America:CR,8,596374.7635
16-06-2025,Asia:IL,8,570180.9942
16-06-2025,North America:CR,8,596374.7635
17-06-2025,Asia:IL,8,570180.9942
17-06-2025,North America:CR,8,596374.7635
18-06-2025,Asia:IL,8,570180.9942
18-06-2025,North America:CR,8,596374.7635
19-06-2025,Asia:IL,8,570180.9942
19-06-2025,North America:CR,8,596374.7635
20-06-2025,Asia:IL,8,570180.9942
20-06-2025,North America:CR,8,596374.7635
21-06-2025,Asia:IL,8,570180.9942
21-06-2025,North America:CR,8,596374.7635
22-06-2025,Asia:IL,8,570180.9942
22-06-2025,North America:CR,8,596374.7635
23-06-2025,Asia:IL,8,570180.9942
23-06-2025,North America:CR,8,596374.7635
24-06-2025,Asia:IL,8,570180.9942
24-06-2025,North America:CR,8,596374.7635
25-06-2025,Asia:IL,8,570180.9942
25-06-2025,North America:CR,8,596374.7635
26-06-2025,Asia:IL,8,570180.9942
26-06-2025,North America:CR,8,596374.7635
27-06-2025,Asia:IL,8,570180.9942
27-06-2025,North America:CR,8,596374.7635
28-06-2025,Asia:IL,8,570180.9942
28-06-2025,North America:CR,8,596374.7635
29-06-2025,Asia:IL,8,570180.9942
29-06-2025,North America:CR,8,596374.7635
30-06-2025,Asia:IL,8,570180.9942
30-06-2025,North America:CR,8,596374.7635
01-07-2025,Asia:IL,8,570180.9942
01-07-2025,North America:CR,8,596374.7635
02-07-2025,Asia:IL,8,570180.9942
02-07-2025,North America:CR,8,596374.7635
03-07-2025,Asia:IL,8,570180.9942
03-07-2025,North America:CR,8,596374.7635
04-07-2025,Asia:IL,8,570180.9942
04-07-2025,North America:CR,8,596374.7635
05-07-2025,Asia:IL,8,570180.9942
05-07-2025,North America:CR,8,596374.7635
06-07-2025,Asia:IL,8,570180.9942
06-07-2025,North America:CR,8,596374.7635
07-07-2025,Asia:IL,8,570180.9942
07-07-2025,North America:CR,8,596374.7635
08-07-2025,Asia:IL,8,570180.9942
08-07-2025,North America:CR,8,596374.7635
09-07-2025,Asia:IL,8,570180.9942
09-07-2025,North America:CR,8,596374.7635
10-07-2025,Asia:IL,8,570180.9942
10-07-2025,North America:CR,8,596374.7635
11-07-2025,Asia:IL,8,570180.9942
11-07-2025,North America:CR,8,596374.7635
12-07-2025,Asia:IL,8,570180.9942
12-07-2025,North America:CR,8,596374.7635
13-07-2025,Asia:IL,8,570180.9942
13-07-2025,North America:CR,8,596374.7635
