node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
h57j6,Type3dot1,"Asia,IL,Tel Aviv",tv1,14-06-2025,unassigned,,,,,,,0.0318,1.0000,0.0000,570180.9942,570180.9942
h57j6,Type3dot1,"Asia,IL,Tel Aviv",tv1,15-06-2025,unassigned,,,,,,,0.0260,1.0000,0.0000,570180.9942,570180.9942
h57j6,Type3dot1,"Asia,IL,Tel Aviv",tv1,16-06-2025,unassigned,,,,,,,0.0254,1.0000,0.0000,570180.9942,570180.9942
h57j6,Type3dot1,"Asia,IL,Tel Aviv",tv1,17-06-2025,unassigned,,,,,,,0.0468,1.0000,0.0000,570180.9942,570180.9942
h57j6,Type3dot1,"Asia,IL,Tel Aviv",tv1,18-06-2025,unassigned,,,,,,,0.0857,1.0000,0.0000,570180.9942,570180.9942
h57j6,Type3dot1,"Asia,IL,Tel Aviv",tv1,19-06-2025,unassigned,,,,,,,0.1747,0.8804,0.1195,570180.9942,502004.1471
h57j6,Type3dot1,"Asia,IL,Tel Aviv",tv1,20-06-2025,unassigned,,,,,,,0.1637,0.8979,0.1020,570180.9942,512003.2839
h57j6,Type3dot1,"Asia,IL,Tel Aviv",tv1,21-06-2025,unassigned,,,,,,,0.1668,0.8930,0.1069,570180.9942,509173.8066
h57j6,Type3dot1,"Asia,IL,Tel Aviv",tv1,22-06-2025,unassigned,,,,,,,0.0920,1.0000,0.0000,570180.9942,570180.9942
h57j6,Type3dot1,"Asia,IL,Tel Aviv",tv1,23-06-2025,unassigned,,,,,,,0.0014,1.0000,0.0000,570180.9942,570180.9942
h57j6,Type3dot1,"Asia,IL,Tel Aviv",tv1,24-06-2025,unassigned,,,,,,,0.0053,1.0000,0.0000,570180.9942,570180.9942
h57j6,Type3dot1,"Asia,IL,Tel Aviv",tv1,25-06-2025,unassigned,,,,,,,0.0305,1.0000,0.0000,570180.9942,570180.9942
h57j6,Type3dot1,"Asia,IL,Tel Aviv",tv1,26-06-2025,unassigned,,,,,,,0.1741,0.8812,0.1187,570180.9942,502492.5637
h57j6,Type3dot1,"Asia,IL,Tel Aviv",tv1,27-06-2025,unassigned,,,,,,,0.1628,0.8994,0.1005,570180.9942,512826.9947
