day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,9251218.1159,16,aqbno
15-06-2025,9283788.0796,16,aqbno
16-06-2025,9289591.8593,16,aqbno
17-06-2025,9170765.6397,16,aqbno
18-06-2025,8986165.3333,16,aqbno
19-06-2025,8154785.7624,16,"h57j6,os2wv,xetvj,7muaz,nbela,qobom,ltzjy,aqbno,5rvo7,63rak,4ilsj"
20-06-2025,8257533.2559,16,"h57j6,os2wv,xetvj,7muaz,nbela,qobom,ltzjy,aqbno,5rvo7,63rak,4ilsj"
21-06-2025,8228458.5763,16,"h57j6,os2wv,xetvj,7muaz,nbela,qobom,ltzjy,aqbno,5rvo7,63rak,4ilsj"
22-06-2025,8905515.5328,16,aqbno
23-06-2025,9332446.0620,16,
24-06-2025,9332446.0620,16,
25-06-2025,9288667.5207,16,aqbno
26-06-2025,8159804.5533,16,"h57j6,os2wv,xetvj,7muaz,nbela,qobom,ltzjy,aqbno,5rvo7,63rak,4ilsj"
27-06-2025,8265997.4083,16,"h57j6,os2wv,xetvj,7muaz,nbela,qobom,ltzjy,aqbno,5rvo7,63rak,4ilsj"
28-06-2025,9332446.0620,16,
29-06-2025,9332446.0620,16,
30-06-2025,9332446.0620,16,
01-07-2025,9332446.0620,16,
02-07-2025,9332446.0620,16,
03-07-2025,9332446.0620,16,
04-07-2025,9332446.0620,16,
05-07-2025,9332446.0620,16,
06-07-2025,9332446.0620,16,
07-07-2025,9332446.0620,16,
08-07-2025,9332446.0620,16,
09-07-2025,9332446.0620,16,
10-07-2025,9332446.0620,16,
11-07-2025,9332446.0620,16,
12-07-2025,9332446.0620,16,
13-07-2025,9332446.0620,16,
