day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,357453.7987,42,2grd6
15-06-2025,357453.7987,42,2grd6
16-06-2025,357453.7987,42,
17-06-2025,357453.7987,42,
18-06-2025,357453.7987,42,
19-06-2025,357453.7987,42,
20-06-2025,357453.7987,42,
21-06-2025,357453.7987,42,
22-06-2025,357453.7987,42,"2grd6,bew7t"
23-06-2025,357453.7987,42,"2grd6,bew7t"
24-06-2025,357453.7987,42,
25-06-2025,357453.7987,42,
26-06-2025,357453.7987,42,
27-06-2025,357453.7987,42,
28-06-2025,357453.7987,42,
29-06-2025,357453.7987,42,2grd6
30-06-2025,357453.7987,42,2grd6
01-07-2025,357453.7987,42,
02-07-2025,357453.7987,42,bew7t
03-07-2025,357453.7987,42,2grd6
04-07-2025,357453.7987,42,2grd6
05-07-2025,357453.7987,42,2grd6
06-07-2025,357453.7987,42,2grd6
07-07-2025,357453.7987,42,2grd6
08-07-2025,357453.7987,42,
09-07-2025,357453.7987,42,bew7t
10-07-2025,357453.7987,42,
11-07-2025,357453.7987,42,
12-07-2025,357453.7987,42,
13-07-2025,357453.7987,42,
