node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,14-06-2025,unassigned,,,,,,,0.0067,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,02-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,03-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
37qlx,Type1dot1,"Europe,CH,Geneva",ge2,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,373223.8193,373223.8193
nrz3y,Type1,"Europe,CH,Geneva",ge2,14-06-2025,assigned,uzr34,0.0027,5302,56,0.0104,0.0076,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,15-06-2025,assigned,uzr34,0.0022,5354,3,0.0005,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,16-06-2025,assigned,uzr34,0.0020,5317,2,0.0003,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,17-06-2025,assigned,uzr34,0.0012,5401,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,18-06-2025,assigned,uzr34,0.0007,5278,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,19-06-2025,assigned,uzr34,0.0012,5437,1,0.0001,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,20-06-2025,assigned,uzr34,0.0009,5634,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,21-06-2025,assigned,uzr34,0.0006,5073,1,0.0001,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,22-06-2025,assigned,uzr34,0.0008,4793,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,23-06-2025,assigned,uzr34,0.0036,5222,2,0.0003,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,24-06-2025,assigned,uzr34,0.0009,5429,5,0.0009,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,25-06-2025,assigned,uzr34,0.0019,5471,1,0.0001,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,26-06-2025,assigned,uzr34,0.0015,5286,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,27-06-2025,assigned,uzr34,0.0019,5259,2,0.0003,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,28-06-2025,assigned,uzr34,0.0017,4598,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,29-06-2025,assigned,uzr34,0.0013,5270,1,0.0001,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,30-06-2025,assigned,uzr34,0.0020,5389,3,0.0005,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,01-07-2025,assigned,uzr34,0.0014,5466,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,02-07-2025,assigned,uzr34,0.0010,5309,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,03-07-2025,assigned,uzr34,0.0014,5560,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,04-07-2025,assigned,uzr34,0.0009,5486,3,0.0005,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,05-07-2025,assigned,uzr34,0.0007,5593,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,06-07-2025,assigned,uzr34,0.0007,5403,2,0.0003,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,07-07-2025,assigned,uzr34,0.0016,5463,3,0.0005,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,08-07-2025,assigned,uzr34,0.0012,5595,1,0.0001,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,09-07-2025,assigned,uzr34,0.0007,5513,2,0.0003,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,10-07-2025,assigned,uzr34,0.0012,5538,1,0.0001,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,11-07-2025,assigned,uzr34,0.0007,5572,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,12-07-2025,assigned,uzr34,0.0003,5512,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
nrz3y,Type1,"Europe,CH,Geneva",ge2,13-07-2025,assigned,uzr34,0.0005,5290,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,14-06-2025,unassigned,,,,,,,0.0067,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,02-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,03-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
c5w2g,Type1,"Europe,CH,Geneva",ge2,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,14-06-2025,assigned,fuqsr,0.0009,15703,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,15-06-2025,assigned,fuqsr,0.0004,15809,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,16-06-2025,assigned,fuqsr,0.0006,15555,1,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,17-06-2025,assigned,fuqsr,0.0003,15633,5,0.0003,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,18-06-2025,assigned,fuqsr,0.0014,15621,4,0.0002,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,19-06-2025,assigned,fuqsr,0.0024,15791,1,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,20-06-2025,assigned,fuqsr,0.0001,16150,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,21-06-2025,assigned,fuqsr,0.0002,16156,1,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,22-06-2025,assigned,fuqsr,0.0007,16193,3,0.0001,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,23-06-2025,assigned,fuqsr,0.0004,15868,1,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,24-06-2025,assigned,fuqsr,0.0052,15654,15,0.0009,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,25-06-2025,assigned,fuqsr,0.0004,15599,1,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,26-06-2025,assigned,fuqsr,0.0051,13734,2,0.0001,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,27-06-2025,assigned,fuqsr,0.0057,14382,1,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,28-06-2025,assigned,fuqsr,0.0023,13782,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,29-06-2025,assigned,fuqsr,0.0010,15281,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,30-06-2025,assigned,fuqsr,0.0034,15316,4,0.0002,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,01-07-2025,assigned,fuqsr,0.0001,15746,1,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,02-07-2025,assigned,fuqsr,0.0001,15785,1,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,03-07-2025,assigned,fuqsr,0.0008,15723,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,04-07-2025,assigned,fuqsr,0.0012,15513,1,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,05-07-2025,assigned,fuqsr,0.0000,15866,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,06-07-2025,assigned,fuqsr,0.0000,16012,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,07-07-2025,assigned,fuqsr,0.0007,15837,4,0.0002,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,08-07-2025,assigned,fuqsr,0.0002,16022,1,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,09-07-2025,assigned,fuqsr,0.0003,15911,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,10-07-2025,assigned,fuqsr,0.0012,15881,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,11-07-2025,assigned,fuqsr,0.0000,16087,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,12-07-2025,assigned,fuqsr,0.0001,15799,1,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
foasq,Type1,"Europe,CH,Geneva",ge1,13-07-2025,assigned,fuqsr,0.0001,16010,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,14-06-2025,unassigned,,,,,,,0.0067,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,02-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,03-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
3b2lt,Type1,"Europe,CH,Geneva",ge2,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
