day,region,nodes_count,xdr_permyriad
14-06-2025,Asia:IN,12,528297.5184
14-06-2025,North America:CA,2,430887.7388
15-06-2025,Asia:IN,12,528297.5184
15-06-2025,North America:CA,2,430887.7388
16-06-2025,Asia:IN,12,528297.5184
16-06-2025,North America:CA,2,430887.7388
17-06-2025,Asia:IN,12,528297.5184
17-06-2025,North America:CA,2,430887.7388
18-06-2025,Asia:IN,12,528297.5184
18-06-2025,North America:CA,2,430887.7388
19-06-2025,Asia:IN,12,528297.5184
19-06-2025,North America:CA,2,430887.7388
20-06-2025,Asia:IN,12,528297.5184
20-06-2025,North America:CA,2,430887.7388
21-06-2025,Asia:IN,12,528297.5184
21-06-2025,North America:CA,2,430887.7388
22-06-2025,Asia:IN,12,528297.5184
22-06-2025,North America:CA,2,430887.7388
23-06-2025,Asia:IN,12,528297.5184
23-06-2025,North America:CA,2,430887.7388
24-06-2025,Asia:IN,12,528297.5184
24-06-2025,North America:CA,2,430887.7388
25-06-2025,Asia:IN,12,528297.5184
25-06-2025,North America:CA,2,430887.7388
26-06-2025,Asia:IN,12,528297.5184
26-06-2025,North America:CA,2,430887.7388
27-06-2025,Asia:IN,12,528297.5184
27-06-2025,North America:CA,2,430887.7388
28-06-2025,Asia:IN,12,528297.5184
28-06-2025,North America:CA,2,430887.7388
29-06-2025,Asia:IN,12,528297.5184
29-06-2025,North America:CA,2,430887.7388
30-06-2025,Asia:IN,12,528297.5184
30-06-2025,North America:CA,2,430887.7388
01-07-2025,Asia:IN,12,528297.5184
01-07-2025,North America:CA,2,430887.7388
02-07-2025,Asia:IN,12,528297.5184
02-07-2025,North America:CA,2,430887.7388
03-07-2025,Asia:IN,12,528297.5184
03-07-2025,North America:CA,2,430887.7388
04-07-2025,Asia:IN,12,528297.5184
04-07-2025,North America:CA,2,430887.7388
05-07-2025,Asia:IN,12,528297.5184
05-07-2025,North America:CA,2,430887.7388
06-07-2025,Asia:IN,12,528297.5184
06-07-2025,North America:CA,2,430887.7388
07-07-2025,Asia:IN,12,528297.5184
07-07-2025,North America:CA,2,430887.7388
08-07-2025,Asia:IN,12,528297.5184
08-07-2025,North America:CA,2,430887.7388
09-07-2025,Asia:IN,12,528297.5184
09-07-2025,North America:CA,2,430887.7388
10-07-2025,Asia:IN,12,528297.5184
10-07-2025,North America:CA,2,430887.7388
11-07-2025,Asia:IN,12,528297.5184
11-07-2025,North America:CA,2,430887.7388
12-07-2025,Asia:IN,12,528297.5184
12-07-2025,North America:CA,2,430887.7388
13-07-2025,Asia:IN,12,528297.5184
13-07-2025,North America:CA,2,430887.7388
