node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
wnuri,Type3dot1,"Asia,IN,New Delhi",nd1,14-06-2025,assigned,cv73p,0.0008,10841,12,0.0011,0.0002,,1.0000,0.0000,528297.5184,528297.5184
wnuri,Type3dot1,"Asia,IN,New Delhi",nd1,15-06-2025,assigned,cv73p,0.0011,10744,2,0.0001,0.0000,,1.0000,0.0000,528297.5184,528297.5184
wnuri,Type3dot1,"Asia,IN,New Delhi",nd1,16-06-2025,assigned,cv73p,0.0024,10585,6,0.0005,0.0000,,1.0000,0.0000,528297.5184,528297.5184
wnuri,Type3dot1,"Asia,IN,New Delhi",nd1,17-06-2025,assigned,cv73p,0.0017,10908,1,0.0000,0.0000,,1.0000,0.0000,528297.5184,528297.5184
wnuri,Type3dot1,"Asia,IN,New Delhi",nd1,18-06-2025,assigned,cv73p,0.0087,9528,1322,0.1218,0.1130,,0.9791,0.0208,528297.5184,517262.5509
wnuri,Type3dot1,"Asia,IN,New Delhi",nd1,19-06-2025,assigned,cv73p,0.0080,0,10071,1.0000,0.9919,,0.2000,0.8000,528297.5184,105659.5036
wnuri,Type3dot1,"Asia,IN,New Delhi",nd1,20-06-2025,assigned,cv73p,0.0009,0,9793,1.0000,0.9990,,0.2000,0.8000,528297.5184,105659.5036
wnuri,Type3dot1,"Asia,IN,New Delhi",nd1,21-06-2025,assigned,cv73p,0.0020,1178,8765,0.8815,0.8794,,0.2000,0.8000,528297.5184,105659.5036
wnuri,Type3dot1,"Asia,IN,New Delhi",nd1,22-06-2025,assigned,cv73p,0.0029,10814,27,0.0024,0.0000,,1.0000,0.0000,528297.5184,528297.5184
wnuri,Type3dot1,"Asia,IN,New Delhi",nd1,23-06-2025,assigned,cv73p,0.0079,10663,43,0.0040,0.0000,,1.0000,0.0000,528297.5184,528297.5184
wnuri,Type3dot1,"Asia,IN,New Delhi",nd1,24-06-2025,assigned,cv73p,0.0089,10535,59,0.0055,0.0000,,1.0000,0.0000,528297.5184,528297.5184
wnuri,Type3dot1,"Asia,IN,New Delhi",nd1,25-06-2025,assigned,cv73p,0.0018,11087,47,0.0042,0.0023,,1.0000,0.0000,528297.5184,528297.5184
wnuri,Type3dot1,"Asia,IN,New Delhi",nd1,26-06-2025,assigned,cv73p,0.0104,10799,13,0.0012,0.0000,,1.0000,0.0000,528297.5184,528297.5184
