day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,7201345.6984,14,
15-06-2025,7201345.6984,14,
16-06-2025,7201345.6984,14,
17-06-2025,7201345.6984,14,
18-06-2025,7173021.8036,14,"wnuri,mlbpy"
19-06-2025,6266904.4718,14,"wnuri,6bp3h,mlbpy,b37zb"
20-06-2025,6561031.5382,14,"wnuri,6bp3h,mlbpy,b37zb"
21-06-2025,6284678.1946,14,"wnuri,6bp3h,mlbpy,b37zb"
22-06-2025,7201345.6984,14,
23-06-2025,7201345.6984,14,
24-06-2025,7201345.6984,14,
25-06-2025,7175233.5436,14,mlbpy
26-06-2025,7117090.1413,14,mlbpy
27-06-2025,7034116.7591,14,"cekdc,mlbpy"
28-06-2025,7024398.1664,14,"cekdc,mlbpy"
29-06-2025,7195737.5660,14,mlbpy
30-06-2025,7201345.6984,14,
01-07-2025,7201345.6984,14,
02-07-2025,7201345.6984,14,
03-07-2025,7201345.6984,14,
04-07-2025,7201345.6984,14,
05-07-2025,7201345.6984,14,
06-07-2025,7201345.6984,14,
07-07-2025,7201345.6984,14,
08-07-2025,7201345.6984,14,
09-07-2025,7201345.6984,14,
10-07-2025,7201345.6984,14,
11-07-2025,7201345.6984,14,
12-07-2025,7201345.6984,14,
13-07-2025,7201345.6984,14,
