node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
7ospr,Type1dot1,"North America,US,Washington",se1,14-06-2025,unassigned,,,,,,,0.0472,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,15-06-2025,unassigned,,,,,,,0.0412,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,16-06-2025,unassigned,,,,,,,0.0433,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,17-06-2025,unassigned,,,,,,,0.0456,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,18-06-2025,unassigned,,,,,,,0.0435,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,19-06-2025,unassigned,,,,,,,0.0174,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,20-06-2025,unassigned,,,,,,,0.0341,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,21-06-2025,unassigned,,,,,,,0.0340,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,22-06-2025,unassigned,,,,,,,0.0617,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,23-06-2025,unassigned,,,,,,,0.0396,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,24-06-2025,unassigned,,,,,,,0.0481,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,25-06-2025,unassigned,,,,,,,0.0564,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,26-06-2025,unassigned,,,,,,,0.0082,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,27-06-2025,unassigned,,,,,,,0.0184,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,28-06-2025,unassigned,,,,,,,0.0315,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,29-06-2025,unassigned,,,,,,,0.0203,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,30-06-2025,unassigned,,,,,,,0.0281,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,01-07-2025,unassigned,,,,,,,0.0455,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,02-07-2025,unassigned,,,,,,,0.0340,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,03-07-2025,unassigned,,,,,,,0.0326,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,04-07-2025,unassigned,,,,,,,0.0319,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,05-07-2025,unassigned,,,,,,,0.0329,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,06-07-2025,unassigned,,,,,,,0.0353,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,07-07-2025,unassigned,,,,,,,0.0318,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,08-07-2025,unassigned,,,,,,,0.0322,1.0000,0.0000,329856.2628,329856.2628
7ospr,Type1dot1,"North America,US,Washington",se1,09-07-2025,unassigned,,,,,,,0.0265,1.0000,0.0000,329856.2628,329856.2628
