day,region,nodes_count,xdr_permyriad
14-06-2025,Asia:IN,10,553440.9180
15-06-2025,Asia:IN,10,553440.9180
16-06-2025,Asia:IN,10,553440.9180
17-06-2025,Asia:IN,10,553440.9180
18-06-2025,Asia:IN,10,553440.9180
19-06-2025,Asia:IN,10,553440.9180
20-06-2025,Asia:IN,10,553440.9180
21-06-2025,Asia:IN,10,553440.9180
22-06-2025,Asia:IN,10,553440.9180
23-06-2025,Asia:IN,10,553440.9180
24-06-2025,Asia:IN,10,553440.9180
25-06-2025,Asia:IN,10,553440.9180
26-06-2025,Asia:IN,10,553440.9180
27-06-2025,Asia:IN,10,553440.9180
28-06-2025,Asia:IN,10,553440.9180
29-06-2025,Asia:IN,10,553440.9180
30-06-2025,Asia:IN,10,553440.9180
01-07-2025,Asia:IN,10,553440.9180
02-07-2025,Asia:IN,10,553440.9180
03-07-2025,Asia:IN,10,553440.9180
04-07-2025,Asia:IN,10,553440.9180
05-07-2025,Asia:IN,10,553440.9180
06-07-2025,Asia:IN,10,553440.9180
07-07-2025,Asia:IN,10,553440.9180
08-07-2025,Asia:IN,10,553440.9180
09-07-2025,Asia:IN,10,553440.9180
10-07-2025,Asia:IN,10,553440.9180
11-07-2025,Asia:IN,10,553440.9180
12-07-2025,Asia:IN,10,553440.9180
13-07-2025,Asia:IN,10,553440.9180
