node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
6syks,Type3dot1,"Asia,IN,Greater Noida",gn1,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,553440.9180,553440.9180
6syks,Type3dot1,"Asia,IN,Greater Noida",gn1,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,553440.9180,553440.9180
6syks,Type3dot1,"Asia,IN,Greater Noida",gn1,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,553440.9180,553440.9180
6syks,Type3dot1,"Asia,IN,Greater Noida",gn1,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,553440.9180,553440.9180
6syks,Type3dot1,"Asia,IN,Greater Noida",gn1,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,553440.9180,553440.9180
6syks,Type3dot1,"Asia,IN,Greater Noida",gn1,19-06-2025,unassigned,,,,,,,0.0341,1.0000,0.0000,553440.9180,553440.9180
6syks,Type3dot1,"Asia,IN,Greater Noida",gn1,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,553440.9180,553440.9180
6syks,Type3dot1,"Asia,IN,Greater Noida",gn1,21-06-2025,unassigned,,,,,,,0.0002,1.0000,0.0000,553440.9180,553440.9180
6syks,Type3dot1,"Asia,IN,Greater Noida",gn1,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,553440.9180,553440.9180
6syks,Type3dot1,"Asia,IN,Greater Noida",gn1,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,553440.9180,553440.9180
6syks,Type3dot1,"Asia,IN,Greater Noida",gn1,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,553440.9180,553440.9180
6syks,Type3dot1,"Asia,IN,Greater Noida",gn1,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,553440.9180,553440.9180
6syks,Type3dot1,"Asia,IN,Greater Noida",gn1,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,553440.9180,553440.9180
6syks,Type3dot1,"Asia,IN,Greater Noida",gn1,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,553440.9180,553440.9180
6syks,Type3dot1,"Asia,IN,Greater Noida",gn1,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,553440.9180,553440.9180
6syks,Type3dot1,"Asia,IN,Greater Noida",gn1,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,553440.9180,553440.9180
6syks,Type3dot1,"Asia,IN,Greater Noida",gn1,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,553440.9180,553440.9180
6syks,Type3dot1,"Asia,IN,Greater Noida",gn1,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,553440.9180,553440.9180
