node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,14-06-2025,assigned,pzp6e,0.0017,4972,23,0.0046,0.0028,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,15-06-2025,assigned,pzp6e,0.0019,5036,13,0.0025,0.0006,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,16-06-2025,assigned,pzp6e,0.0039,5041,16,0.0031,0.0000,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,17-06-2025,assigned,pzp6e,0.0019,5097,8,0.0015,0.0000,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,18-06-2025,assigned,pzp6e,0.0027,5206,9,0.0017,0.0000,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,19-06-2025,assigned,pzp6e,0.0021,5087,5,0.0009,0.0000,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,20-06-2025,assigned,pzp6e,0.0009,5320,5,0.0009,0.0000,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,21-06-2025,assigned,pzp6e,0.0014,4754,8,0.0016,0.0001,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,22-06-2025,assigned,pzp6e,0.0013,4272,1,0.0002,0.0000,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,23-06-2025,assigned,pzp6e,0.0027,4615,8,0.0017,0.0000,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,24-06-2025,assigned,pzp6e,0.0031,5018,3,0.0005,0.0000,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,25-06-2025,assigned,pzp6e,0.0018,4888,9,0.0018,0.0000,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,26-06-2025,assigned,pzp6e,0.0028,4256,5,0.0011,0.0000,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,27-06-2025,assigned,pzp6e,0.0047,4443,2,0.0004,0.0000,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,28-06-2025,assigned,pzp6e,0.0012,4905,4,0.0008,0.0000,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,29-06-2025,assigned,pzp6e,0.0012,4883,4,0.0008,0.0000,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,30-06-2025,assigned,pzp6e,0.0026,4608,8,0.0017,0.0000,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,01-07-2025,assigned,pzp6e,0.0012,4898,2,0.0004,0.0000,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,02-07-2025,assigned,pzp6e,0.0022,4896,5,0.0010,0.0000,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,03-07-2025,assigned,pzp6e,0.0034,4692,4,0.0008,0.0000,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,04-07-2025,assigned,pzp6e,0.0022,4932,4,0.0008,0.0000,,1.0000,0.0000,506447.6386,506447.6386
zgeaf,Type3dot1,"Europe,EE,Tallinn",ta2,05-07-2025,assigned,pzp6e,0.0018,5085,6,0.0011,0.0000,,1.0000,0.0000,506447.6386,506447.6386
