day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,3545133.4702,7,
15-06-2025,3545133.4702,7,
16-06-2025,3545133.4702,7,
17-06-2025,3545133.4702,7,
18-06-2025,3545133.4702,7,
19-06-2025,3545133.4702,7,
20-06-2025,3545133.4702,7,
21-06-2025,3545133.4702,7,
22-06-2025,3545133.4702,7,
23-06-2025,3545133.4702,7,
24-06-2025,3545133.4702,7,
25-06-2025,3545133.4702,7,
26-06-2025,3545133.4702,7,
27-06-2025,3545133.4702,7,
28-06-2025,3545133.4702,7,
29-06-2025,3545133.4702,7,
30-06-2025,3545133.4702,7,
01-07-2025,3545133.4702,7,
02-07-2025,3545133.4702,7,
03-07-2025,3545133.4702,7,
04-07-2025,3545133.4702,7,
05-07-2025,3545133.4702,7,
06-07-2025,3545133.4702,7,
07-07-2025,3545133.4702,7,
08-07-2025,3545133.4702,7,
09-07-2025,3545133.4702,7,
10-07-2025,3545133.4702,7,
11-07-2025,3545133.4702,7,
12-07-2025,3545133.4702,7,
13-07-2025,3545133.4702,7,
