day,region,nodes_count,xdr_permyriad
14-06-2025,Europe:CZ,6,447206.9547
15-06-2025,Europe:CZ,6,447206.9547
16-06-2025,Europe:CZ,6,447206.9547
17-06-2025,Europe:CZ,6,447206.9547
18-06-2025,Europe:CZ,6,447206.9547
19-06-2025,Europe:CZ,6,447206.9547
20-06-2025,Europe:CZ,6,447206.9547
21-06-2025,Europe:CZ,6,447206.9547
22-06-2025,Europe:CZ,6,447206.9547
23-06-2025,Europe:CZ,6,447206.9547
24-06-2025,Europe:CZ,6,447206.9547
25-06-2025,Europe:CZ,6,447206.9547
26-06-2025,Europe:CZ,6,447206.9547
27-06-2025,Europe:CZ,6,447206.9547
28-06-2025,Europe:CZ,6,447206.9547
29-06-2025,Europe:CZ,6,447206.9547
30-06-2025,Europe:CZ,6,447206.9547
01-07-2025,Europe:CZ,6,447206.9547
02-07-2025,Europe:CZ,6,447206.9547
03-07-2025,Europe:CZ,6,447206.9547
04-07-2025,Europe:CZ,6,447206.9547
05-07-2025,Europe:CZ,6,447206.9547
06-07-2025,Europe:CZ,6,447206.9547
07-07-2025,Europe:CZ,6,447206.9547
08-07-2025,Europe:CZ,6,447206.9547
09-07-2025,Europe:CZ,6,447206.9547
10-07-2025,Europe:CZ,6,447206.9547
11-07-2025,Europe:CZ,6,447206.9547
12-07-2025,Europe:CZ,6,447206.9547
13-07-2025,Europe:CZ,6,447206.9547
