day,region,nodes_count,xdr_permyriad
14-06-2025,Asia:LK,6,638245.4106
15-06-2025,Asia:LK,6,638245.4106
16-06-2025,Asia:LK,6,638245.4106
17-06-2025,Asia:LK,6,638245.4106
18-06-2025,Asia:LK,6,638245.4106
19-06-2025,Asia:LK,6,638245.4106
20-06-2025,Asia:LK,6,638245.4106
21-06-2025,Asia:LK,6,638245.4106
22-06-2025,Asia:LK,6,638245.4106
23-06-2025,Asia:LK,6,638245.4106
24-06-2025,Asia:LK,6,638245.4106
25-06-2025,Asia:LK,6,638245.4106
26-06-2025,Asia:LK,6,638245.4106
27-06-2025,Asia:LK,6,638245.4106
28-06-2025,Asia:LK,6,638245.4106
29-06-2025,Asia:LK,6,638245.4106
30-06-2025,Asia:LK,6,638245.4106
01-07-2025,Asia:LK,6,638245.4106
02-07-2025,Asia:LK,6,638245.4106
03-07-2025,Asia:LK,6,638245.4106
04-07-2025,Asia:LK,6,638245.4106
05-07-2025,Asia:LK,6,638245.4106
06-07-2025,Asia:LK,6,638245.4106
07-07-2025,Asia:LK,6,638245.4106
08-07-2025,Asia:LK,6,638245.4106
09-07-2025,Asia:LK,6,638245.4106
10-07-2025,Asia:LK,6,638245.4106
11-07-2025,Asia:LK,6,638245.4106
12-07-2025,Asia:LK,6,638245.4106
13-07-2025,Asia:LK,6,638245.4106
