day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,5163412.3298,10,
15-06-2025,5163412.3298,10,
16-06-2025,5163412.3298,10,
17-06-2025,5163412.3298,10,
18-06-2025,5163412.3298,10,
19-06-2025,5163412.3298,10,
20-06-2025,5035831.2900,10,6wnv3
21-06-2025,4709810.7081,10,"4jf5x,kq3sv,uajv3,6wnv3"
22-06-2025,5163412.3298,10,
23-06-2025,5163412.3298,10,
24-06-2025,5163412.3298,10,
25-06-2025,5163412.3298,10,
26-06-2025,5163412.3298,10,
27-06-2025,5163412.3298,10,
28-06-2025,5163412.3298,10,
29-06-2025,5163412.3298,10,
30-06-2025,5163412.3298,10,
01-07-2025,5163412.3298,10,
02-07-2025,5163412.3298,10,
03-07-2025,5163412.3298,10,
04-07-2025,5163412.3298,10,
05-07-2025,5163412.3298,10,
06-07-2025,5163412.3298,10,
07-07-2025,5163412.3298,10,
08-07-2025,5163412.3298,10,
09-07-2025,5163412.3298,10,
10-07-2025,5163412.3298,10,
11-07-2025,5163412.3298,10,
12-07-2025,4915360.2512,10,r4dbq
13-07-2025,5097069.0299,10,r4dbq
