node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
ked4e,Type3dot1,"Asia,HK,HongKong",hk1,14-06-2025,unassigned,,,,,,,0.0018,1.0000,0.0000,506904.2904,506904.2904
ked4e,Type3dot1,"Asia,HK,HongKong",hk1,15-06-2025,unassigned,,,,,,,0.0026,1.0000,0.0000,506904.2904,506904.2904
ked4e,Type3dot1,"Asia,HK,HongKong",hk1,16-06-2025,unassigned,,,,,,,0.0019,1.0000,0.0000,506904.2904,506904.2904
ked4e,Type3dot1,"Asia,HK,HongKong",hk1,17-06-2025,unassigned,,,,,,,0.0046,1.0000,0.0000,506904.2904,506904.2904
ked4e,Type3dot1,"Asia,HK,HongKong",hk1,18-06-2025,unassigned,,,,,,,0.0012,1.0000,0.0000,506904.2904,506904.2904
ked4e,Type3dot1,"Asia,HK,HongKong",hk1,19-06-2025,unassigned,,,,,,,0.0046,1.0000,0.0000,506904.2904,506904.2904
ked4e,Type3dot1,"Asia,HK,HongKong",hk1,20-06-2025,unassigned,,,,,,,0.0024,1.0000,0.0000,506904.2904,506904.2904
ked4e,Type3dot1,"Asia,HK,HongKong",hk1,21-06-2025,unassigned,,,,,,,0.0018,1.0000,0.0000,506904.2904,506904.2904
ked4e,Type3dot1,"Asia,HK,HongKong",hk1,22-06-2025,unassigned,,,,,,,0.0019,1.0000,0.0000,506904.2904,506904.2904
ked4e,Type3dot1,"Asia,HK,HongKong",hk1,23-06-2025,unassigned,,,,,,,0.0014,1.0000,0.0000,506904.2904,506904.2904
ked4e,Type3dot1,"Asia,HK,HongKong",hk1,24-06-2025,unassigned,,,,,,,0.0017,1.0000,0.0000,506904.2904,506904.2904
ked4e,Type3dot1,"Asia,HK,HongKong",hk1,25-06-2025,unassigned,,,,,,,0.0023,1.0000,0.0000,506904.2904,506904.2904
ked4e,Type3dot1,"Asia,HK,HongKong",hk1,26-06-2025,unassigned,,,,,,,0.0001,1.0000,0.0000,506904.2904,506904.2904
