day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,4880164.2710,14,
15-06-2025,4880164.2710,14,
16-06-2025,4880164.2710,14,
17-06-2025,4880164.2710,14,
18-06-2025,9810924.0246,28,
19-06-2025,9810924.0246,28,
20-06-2025,9810924.0246,28,
21-06-2025,9810924.0246,28,
22-06-2025,9810924.0246,28,
23-06-2025,9810924.0246,28,
24-06-2025,9810924.0246,28,
25-06-2025,9810924.0246,28,
26-06-2025,9810924.0246,28,
27-06-2025,9810924.0246,28,
28-06-2025,9810924.0246,28,
29-06-2025,9810924.0246,28,
30-06-2025,9810924.0246,28,
01-07-2025,9810924.0246,28,
02-07-2025,9810924.0246,28,
03-07-2025,9810924.0246,28,
04-07-2025,9810924.0246,28,
05-07-2025,9810924.0246,28,
06-07-2025,9810924.0246,28,
07-07-2025,9810924.0246,28,
08-07-2025,9810924.0246,28,
09-07-2025,9810924.0246,28,
10-07-2025,9810924.0246,28,
11-07-2025,9810924.0246,28,
12-07-2025,9810924.0246,28,
13-07-2025,9810924.0246,28,
