day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,1110169.5858,3,
15-06-2025,1110169.5858,3,
16-06-2025,1110169.5858,3,
17-06-2025,1110169.5858,3,
18-06-2025,1110169.5858,3,
19-06-2025,1110169.5858,3,
20-06-2025,1110169.5858,3,
21-06-2025,1110169.5858,3,
22-06-2025,1110169.5858,3,
23-06-2025,1110169.5858,3,
24-06-2025,1110169.5858,3,
25-06-2025,1110169.5858,3,
26-06-2025,1110169.5858,3,
27-06-2025,1110169.5858,3,
28-06-2025,1110169.5858,3,
29-06-2025,1110169.5858,3,
30-06-2025,1110169.5858,3,
01-07-2025,1110169.5858,3,
02-07-2025,1110169.5858,3,
03-07-2025,1110169.5858,3,
04-07-2025,1110169.5858,3,
05-07-2025,1110169.5858,3,
06-07-2025,1110169.5858,3,
07-07-2025,1110169.5858,3,
08-07-2025,1110169.5858,3,
09-07-2025,1110169.5858,3,
10-07-2025,1110169.5858,3,
11-07-2025,1110169.5858,3,
12-07-2025,1110169.5858,3,
13-07-2025,1110169.5858,3,
