day,region,nodes_count,xdr_permyriad
14-06-2025,Europe:UK,2,493786.4476
14-06-2025,Oceania:AU,2,627310.0509
15-06-2025,Europe:UK,2,493786.4476
15-06-2025,Oceania:AU,2,627310.0509
16-06-2025,Europe:UK,2,493786.4476
16-06-2025,Oceania:AU,2,627310.0509
17-06-2025,Europe:UK,2,493786.4476
17-06-2025,Oceania:AU,2,627310.0509
18-06-2025,Europe:UK,2,493786.4476
18-06-2025,Oceania:AU,2,627310.0509
19-06-2025,Europe:UK,2,493786.4476
19-06-2025,Oceania:AU,2,627310.0509
20-06-2025,Europe:UK,2,493786.4476
20-06-2025,Oceania:AU,2,627310.0509
21-06-2025,Europe:UK,2,493786.4476
21-06-2025,Oceania:AU,2,627310.0509
22-06-2025,Europe:UK,2,493786.4476
22-06-2025,Oceania:AU,2,627310.0509
23-06-2025,Europe:UK,2,493786.4476
23-06-2025,Oceania:AU,2,627310.0509
24-06-2025,Europe:UK,2,493786.4476
24-06-2025,Oceania:AU,2,627310.0509
25-06-2025,Europe:UK,2,493786.4476
25-06-2025,Oceania:AU,2,627310.0509
26-06-2025,Europe:UK,2,493786.4476
26-06-2025,Oceania:AU,2,627310.0509
27-06-2025,Europe:UK,2,493786.4476
27-06-2025,Oceania:AU,2,627310.0509
28-06-2025,Europe:UK,2,493786.4476
28-06-2025,Oceania:AU,2,627310.0509
29-06-2025,Europe:UK,2,493786.4476
29-06-2025,Oceania:AU,2,627310.0509
30-06-2025,Europe:UK,2,493786.4476
30-06-2025,Oceania:AU,2,627310.0509
01-07-2025,Europe:UK,2,493786.4476
01-07-2025,Oceania:AU,2,627310.0509
02-07-2025,Europe:UK,2,493786.4476
02-07-2025,Oceania:AU,2,627310.0509
03-07-2025,Europe:UK,2,493786.4476
03-07-2025,Oceania:AU,2,627310.0509
04-07-2025,Europe:UK,2,493786.4476
04-07-2025,Oceania:AU,2,627310.0509
05-07-2025,Europe:UK,2,493786.4476
05-07-2025,Oceania:AU,2,627310.0509
06-07-2025,Europe:UK,2,493786.4476
06-07-2025,Oceania:AU,2,627310.0509
07-07-2025,Europe:UK,2,493786.4476
07-07-2025,Oceania:AU,2,627310.0509
08-07-2025,Europe:UK,2,493786.4476
08-07-2025,Oceania:AU,2,627310.0509
09-07-2025,Europe:UK,2,493786.4476
09-07-2025,Oceania:AU,2,627310.0509
10-07-2025,Europe:UK,2,493786.4476
10-07-2025,Oceania:AU,2,627310.0509
11-07-2025,Europe:UK,2,493786.4476
11-07-2025,Oceania:AU,2,627310.0509
12-07-2025,Europe:UK,2,493786.4476
12-07-2025,Oceania:AU,2,627310.0509
13-07-2025,Europe:UK,2,493786.4476
13-07-2025,Oceania:AU,2,627310.0509
