node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
ncr4b,Type3dot1,"Europe,UK,London",ld1,14-06-2025,assigned,tdb26,0.0028,3849,51,0.0130,0.0102,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,15-06-2025,assigned,tdb26,0.0018,3800,60,0.0155,0.0137,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,16-06-2025,assigned,tdb26,0.0021,3836,49,0.0126,0.0104,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,17-06-2025,assigned,tdb26,0.0020,3849,20,0.0051,0.0031,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,18-06-2025,assigned,tdb26,0.0026,3810,9,0.0023,0.0000,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,19-06-2025,assigned,tdb26,0.0035,3928,31,0.0078,0.0042,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,20-06-2025,assigned,tdb26,0.0017,3905,21,0.0053,0.0035,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,21-06-2025,assigned,tdb26,0.0012,3849,19,0.0049,0.0036,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,22-06-2025,assigned,tdb26,0.0025,3704,34,0.0090,0.0065,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,23-06-2025,assigned,tdb26,0.0028,3828,31,0.0080,0.0051,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,24-06-2025,assigned,tdb26,0.0031,3898,27,0.0068,0.0037,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,25-06-2025,assigned,tdb26,0.0031,3972,24,0.0060,0.0028,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,26-06-2025,assigned,tdb26,0.0032,3500,30,0.0084,0.0052,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,27-06-2025,assigned,tdb26,0.0034,3699,11,0.0029,0.0000,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,28-06-2025,assigned,tdb26,0.0016,3578,24,0.0066,0.0049,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,29-06-2025,assigned,tdb26,0.0018,3766,18,0.0047,0.0029,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,30-06-2025,assigned,tdb26,0.0048,4066,20,0.0048,0.0000,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,01-07-2025,assigned,tdb26,0.0017,3856,37,0.0095,0.0077,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,02-07-2025,assigned,tdb26,0.0017,3933,25,0.0063,0.0045,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,03-07-2025,assigned,tdb26,0.0017,4030,20,0.0049,0.0031,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,04-07-2025,assigned,tdb26,0.0012,3944,84,0.0208,0.0195,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,05-07-2025,assigned,tdb26,0.0017,4080,18,0.0043,0.0026,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,06-07-2025,assigned,tdb26,0.0046,3810,81,0.0208,0.0162,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,07-07-2025,assigned,tdb26,0.0061,3721,80,0.0210,0.0148,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,08-07-2025,assigned,tdb26,0.0030,3893,29,0.0073,0.0043,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,09-07-2025,assigned,tdb26,0.0044,3852,26,0.0067,0.0022,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,10-07-2025,assigned,tdb26,0.0033,3981,36,0.0089,0.0055,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,11-07-2025,assigned,tdb26,0.0035,3983,11,0.0027,0.0000,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,12-07-2025,assigned,tdb26,0.0017,3852,43,0.0110,0.0093,,1.0000,0.0000,493786.4476,493786.4476
ncr4b,Type3dot1,"Europe,UK,London",ld1,13-07-2025,assigned,tdb26,0.0017,3871,33,0.0084,0.0067,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,14-06-2025,assigned,uzr34,0.0027,5365,20,0.0037,0.0009,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,15-06-2025,assigned,uzr34,0.0022,5200,33,0.0063,0.0040,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,16-06-2025,assigned,uzr34,0.0020,5277,56,0.0105,0.0084,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,17-06-2025,assigned,uzr34,0.0012,5261,13,0.0024,0.0011,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,18-06-2025,assigned,uzr34,0.0007,5271,9,0.0017,0.0009,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,19-06-2025,assigned,uzr34,0.0012,5435,9,0.0016,0.0003,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,20-06-2025,assigned,uzr34,0.0009,5451,48,0.0087,0.0078,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,21-06-2025,assigned,uzr34,0.0006,4943,5,0.0010,0.0004,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,22-06-2025,assigned,uzr34,0.0008,4718,19,0.0040,0.0031,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,23-06-2025,assigned,uzr34,0.0036,5180,38,0.0072,0.0036,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,24-06-2025,assigned,uzr34,0.0009,5438,25,0.0045,0.0036,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,25-06-2025,assigned,uzr34,0.0019,5538,11,0.0019,0.0000,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,26-06-2025,assigned,uzr34,0.0015,5422,26,0.0047,0.0032,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,27-06-2025,assigned,uzr34,0.0019,5172,6,0.0011,0.0000,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,28-06-2025,assigned,uzr34,0.0017,4672,38,0.0080,0.0063,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,29-06-2025,assigned,uzr34,0.0013,5209,22,0.0042,0.0028,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,30-06-2025,assigned,uzr34,0.0020,5473,17,0.0030,0.0010,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,01-07-2025,assigned,uzr34,0.0014,5504,24,0.0043,0.0028,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,02-07-2025,assigned,uzr34,0.0010,5406,24,0.0044,0.0033,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,03-07-2025,assigned,uzr34,0.0014,5588,7,0.0012,0.0000,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,04-07-2025,assigned,uzr34,0.0009,5491,10,0.0018,0.0009,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,05-07-2025,assigned,uzr34,0.0007,5443,9,0.0016,0.0009,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,06-07-2025,assigned,uzr34,0.0007,5273,225,0.0409,0.0401,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,07-07-2025,assigned,uzr34,0.0016,5402,40,0.0073,0.0057,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,08-07-2025,assigned,uzr34,0.0012,5411,44,0.0080,0.0068,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,09-07-2025,assigned,uzr34,0.0007,5550,9,0.0016,0.0008,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,10-07-2025,assigned,uzr34,0.0012,5457,25,0.0045,0.0032,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,11-07-2025,assigned,uzr34,0.0007,5583,2,0.0003,0.0000,,1.0000,0.0000,493786.4476,493786.4476
3jol6,Type3dot1,"Europe,UK,London",ld1,12-07-2025,assigned,uzr34,0.0003,5623,9,0.0015,0.0012,,1.0000,0.0000,493786.4476,493786.4476
