day,region,nodes_count,xdr_permyriad
14-06-2025,Oceania:AU,18,430921.3864
15-06-2025,Oceania:AU,18,430921.3864
16-06-2025,Oceania:AU,18,430921.3864
17-06-2025,Oceania:AU,18,430921.3864
18-06-2025,Oceania:AU,18,430921.3864
19-06-2025,Oceania:AU,18,430921.3864
20-06-2025,Oceania:AU,18,430921.3864
21-06-2025,Oceania:AU,18,430921.3864
22-06-2025,Oceania:AU,18,430921.3864
23-06-2025,Oceania:AU,18,430921.3864
24-06-2025,Oceania:AU,18,430921.3864
25-06-2025,Oceania:AU,18,430921.3864
26-06-2025,Oceania:AU,18,430921.3864
27-06-2025,Oceania:AU,18,430921.3864
28-06-2025,Oceania:AU,18,430921.3864
29-06-2025,Oceania:AU,18,430921.3864
30-06-2025,Oceania:AU,18,430921.3864
01-07-2025,Oceania:AU,18,430921.3864
02-07-2025,Oceania:AU,18,430921.3864
03-07-2025,Oceania:AU,18,430921.3864
04-07-2025,Oceania:AU,18,430921.3864
05-07-2025,Oceania:AU,18,430921.3864
06-07-2025,Oceania:AU,18,430921.3864
07-07-2025,Oceania:AU,18,430921.3864
08-07-2025,Oceania:AU,18,430921.3864
09-07-2025,Oceania:AU,18,430921.3864
10-07-2025,Oceania:AU,18,430921.3864
11-07-2025,Oceania:AU,18,430921.3864
12-07-2025,Oceania:AU,18,430921.3864
13-07-2025,Oceania:AU,18,430921.3864
