node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
catzb,Type3dot1,"Europe,PL,Warszawa",wa3,14-06-2025,assigned,x33ed,0.0019,4503,24,0.0053,0.0033,,1.0000,0.0000,506447.6386,506447.6386
catzb,Type3dot1,"Europe,PL,Warszawa",wa3,15-06-2025,assigned,x33ed,0.0019,4550,33,0.0072,0.0052,,1.0000,0.0000,506447.6386,506447.6386
catzb,Type3dot1,"Europe,PL,Warszawa",wa3,16-06-2025,assigned,x33ed,0.0006,4453,118,0.0258,0.0251,,1.0000,0.0000,506447.6386,506447.6386
catzb,Type3dot1,"Europe,PL,Warszawa",wa3,17-06-2025,assigned,x33ed,0.0006,4654,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
catzb,Type3dot1,"Europe,PL,Warszawa",wa3,18-06-2025,assigned,x33ed,0.0015,4596,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
catzb,Type3dot1,"Europe,PL,Warszawa",wa3,19-06-2025,assigned,x33ed,0.0018,4848,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
catzb,Type3dot1,"Europe,PL,Warszawa",wa3,20-06-2025,assigned,x33ed,0.0005,5516,9,0.0016,0.0010,,1.0000,0.0000,506447.6386,506447.6386
catzb,Type3dot1,"Europe,PL,Warszawa",wa3,21-06-2025,assigned,x33ed,0.0007,5586,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
catzb,Type3dot1,"Europe,PL,Warszawa",wa3,22-06-2025,assigned,x33ed,0.0015,5355,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
catzb,Type3dot1,"Europe,PL,Warszawa",wa3,23-06-2025,assigned,x33ed,0.0009,5418,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
catzb,Type3dot1,"Europe,PL,Warszawa",wa3,24-06-2025,assigned,x33ed,0.0007,5395,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
catzb,Type3dot1,"Europe,PL,Warszawa",wa3,25-06-2025,assigned,x33ed,0.0005,5302,10,0.0018,0.0013,,1.0000,0.0000,506447.6386,506447.6386
catzb,Type3dot1,"Europe,PL,Warszawa",wa3,26-06-2025,assigned,x33ed,0.0033,5339,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
catzb,Type3dot1,"Europe,PL,Warszawa",wa3,27-06-2025,assigned,x33ed,0.0011,5328,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
catzb,Type3dot1,"Europe,PL,Warszawa",wa3,28-06-2025,assigned,x33ed,0.0007,5402,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
catzb,Type3dot1,"Europe,PL,Warszawa",wa3,29-06-2025,assigned,x33ed,0.0003,5422,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
catzb,Type3dot1,"Europe,PL,Warszawa",wa3,30-06-2025,assigned,x33ed,0.0014,5253,16,0.0030,0.0015,,1.0000,0.0000,506447.6386,506447.6386
catzb,Type3dot1,"Europe,PL,Warszawa",wa3,01-07-2025,assigned,x33ed,0.0003,5447,0,0.0000,0.0000,,1.0000,0.0000,506447.6386,506447.6386
