node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
ulsfy,Type1,"North America,US,Arizona",ph1,14-06-2025,assigned,uzr34,0.0027,5291,1,0.0001,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,15-06-2025,assigned,uzr34,0.0022,5290,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,16-06-2025,assigned,uzr34,0.0020,5351,2,0.0003,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,17-06-2025,assigned,uzr34,0.0012,5146,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,18-06-2025,assigned,uzr34,0.0007,5383,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,19-06-2025,assigned,uzr34,0.0012,5387,2,0.0003,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,20-06-2025,assigned,uzr34,0.0009,5622,1,0.0001,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,21-06-2025,assigned,uzr34,0.0006,5048,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,22-06-2025,assigned,uzr34,0.0008,4819,1,0.0002,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,23-06-2025,assigned,uzr34,0.0036,5323,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,24-06-2025,assigned,uzr34,0.0009,5475,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,25-06-2025,assigned,uzr34,0.0019,5436,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,26-06-2025,assigned,uzr34,0.0015,5306,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,27-06-2025,assigned,uzr34,0.0019,5284,1,0.0001,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,28-06-2025,assigned,uzr34,0.0017,4580,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,29-06-2025,assigned,uzr34,0.0013,5250,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,30-06-2025,assigned,uzr34,0.0020,5597,2,0.0003,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,01-07-2025,assigned,uzr34,0.0014,5340,1,0.0001,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,02-07-2025,assigned,uzr34,0.0010,5213,3,0.0005,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,03-07-2025,assigned,uzr34,0.0014,5445,2,0.0003,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,04-07-2025,assigned,uzr34,0.0009,5527,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,05-07-2025,assigned,uzr34,0.0007,5385,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,06-07-2025,assigned,uzr34,0.0007,5551,1,0.0001,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,07-07-2025,assigned,uzr34,0.0016,5490,3,0.0005,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,08-07-2025,assigned,uzr34,0.0012,5589,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,09-07-2025,assigned,uzr34,0.0007,5529,4,0.0007,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,10-07-2025,assigned,uzr34,0.0012,5585,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,11-07-2025,assigned,uzr34,0.0007,5508,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,12-07-2025,assigned,uzr34,0.0003,5505,2,0.0003,0.0000,,1.0000,0.0000,0.0000,0.0000
ulsfy,Type1,"North America,US,Arizona",ph1,13-07-2025,assigned,uzr34,0.0005,5144,0,0.0000,0.0000,,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,16-06-2025,unassigned,,,,,,,0.0007,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,17-06-2025,unassigned,,,,,,,0.0387,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,18-06-2025,unassigned,,,,,,,0.0243,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,24-06-2025,unassigned,,,,,,,0.0271,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,25-06-2025,unassigned,,,,,,,0.0157,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,02-07-2025,unassigned,,,,,,,0.0680,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,03-07-2025,unassigned,,,,,,,0.0719,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,04-07-2025,unassigned,,,,,,,0.0386,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,05-07-2025,unassigned,,,,,,,0.0031,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,06-07-2025,unassigned,,,,,,,0.0686,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,07-07-2025,unassigned,,,,,,,0.0127,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,08-07-2025,unassigned,,,,,,,0.0424,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,09-07-2025,unassigned,,,,,,,0.0007,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,10-07-2025,unassigned,,,,,,,0.0076,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
ytf6u,Type1,"North America,US,Virginia",st1,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,16-06-2025,unassigned,,,,,,,0.0007,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,17-06-2025,unassigned,,,,,,,0.0387,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,18-06-2025,unassigned,,,,,,,0.0243,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,24-06-2025,unassigned,,,,,,,0.0271,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,25-06-2025,unassigned,,,,,,,0.0157,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,02-07-2025,unassigned,,,,,,,0.0680,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,03-07-2025,unassigned,,,,,,,0.0719,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,04-07-2025,unassigned,,,,,,,0.0386,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,05-07-2025,unassigned,,,,,,,0.0031,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,06-07-2025,unassigned,,,,,,,0.0686,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,07-07-2025,unassigned,,,,,,,0.0127,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,08-07-2025,unassigned,,,,,,,0.0424,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,09-07-2025,unassigned,,,,,,,0.0007,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,10-07-2025,unassigned,,,,,,,0.0076,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
km5kr,Type1,"North America,US,Arizona",ph1,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
6jidn,Type1,"North America,US,Virginia",st1,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
6jidn,Type1,"North America,US,Virginia",st1,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
6jidn,Type1,"North America,US,Virginia",st1,16-06-2025,unassigned,,,,,,,0.0007,1.0000,0.0000,0.0000,0.0000
6jidn,Type1,"North America,US,Virginia",st1,17-06-2025,unassigned,,,,,,,0.0387,1.0000,0.0000,0.0000,0.0000
6jidn,Type1,"North America,US,Virginia",st1,18-06-2025,unassigned,,,,,,,0.0243,1.0000,0.0000,0.0000,0.0000
6jidn,Type1,"North America,US,Virginia",st1,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
6jidn,Type1,"North America,US,Virginia",st1,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
6jidn,Type1,"North America,US,Virginia",st1,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
6jidn,Type1,"North America,US,Virginia",st1,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
6jidn,Type1,"North America,US,Virginia",st1,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
6jidn,Type1,"North America,US,Virginia",st1,24-06-2025,unassigned,,,,,,,0.0271,1.0000,0.0000,0.0000,0.0000
6jidn,Type1,"North America,US,Virginia",st1,25-06-2025,unassigned,,,,,,,0.0157,1.0000,0.0000,0.0000,0.0000
6jidn,Type1,"North America,US,Virginia",st1,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
6jidn,Type1,"North America,US,Virginia",st1,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
6jidn,Type1,"North America,US,Virginia",st1,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
6jidn,Type1,"North America,US,Virginia",st1,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
6jidn,Type1,"North America,US,Virginia",st1,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,0.0000,0.0000
