day,region,nodes_count,xdr_permyriad
14-06-2025,Europe:HR,4,469714.3583
14-06-2025,Europe:SI,12,387972.5803
15-06-2025,Europe:HR,4,469714.3583
15-06-2025,Europe:SI,12,387972.5803
16-06-2025,Europe:HR,4,469714.3583
16-06-2025,Europe:SI,12,387972.5803
17-06-2025,Europe:HR,4,469714.3583
17-06-2025,Europe:SI,12,387972.5803
18-06-2025,Europe:HR,4,469714.3583
18-06-2025,Europe:SI,12,387972.5803
19-06-2025,Europe:HR,4,469714.3583
19-06-2025,Europe:SI,12,387972.5803
20-06-2025,Europe:HR,4,469714.3583
20-06-2025,Europe:SI,12,387972.5803
21-06-2025,Europe:HR,4,469714.3583
21-06-2025,Europe:SI,12,387972.5803
22-06-2025,Europe:HR,4,469714.3583
22-06-2025,Europe:SI,12,387972.5803
23-06-2025,Europe:HR,4,469714.3583
23-06-2025,Europe:SI,12,387972.5803
24-06-2025,Europe:HR,4,469714.3583
24-06-2025,Europe:SI,12,387972.5803
25-06-2025,Europe:HR,4,469714.3583
25-06-2025,Europe:SI,12,387972.5803
26-06-2025,Europe:HR,4,469714.3583
26-06-2025,Europe:SI,12,387972.5803
27-06-2025,Europe:HR,4,469714.3583
27-06-2025,Europe:SI,12,387972.5803
28-06-2025,Europe:HR,4,469714.3583
28-06-2025,Europe:SI,12,387972.5803
29-06-2025,Europe:HR,4,469714.3583
29-06-2025,Europe:SI,12,387972.5803
30-06-2025,Europe:HR,4,469714.3583
30-06-2025,Europe:SI,12,387972.5803
01-07-2025,Europe:HR,4,469714.3583
01-07-2025,Europe:SI,12,387972.5803
02-07-2025,Europe:HR,4,469714.3583
02-07-2025,Europe:SI,12,387972.5803
03-07-2025,Europe:HR,4,469714.3583
03-07-2025,Europe:SI,12,387972.5803
04-07-2025,Europe:HR,4,469714.3583
04-07-2025,Europe:SI,12,387972.5803
05-07-2025,Europe:HR,4,469714.3583
05-07-2025,Europe:SI,12,387972.5803
06-07-2025,Europe:HR,4,469714.3583
06-07-2025,Europe:SI,12,387972.5803
07-07-2025,Europe:HR,4,469714.3583
07-07-2025,Europe:SI,12,387972.5803
08-07-2025,Europe:HR,4,469714.3583
08-07-2025,Europe:SI,12,387972.5803
09-07-2025,Europe:HR,4,469714.3583
09-07-2025,Europe:SI,12,387972.5803
10-07-2025,Europe:HR,4,469714.3583
10-07-2025,Europe:SI,12,387972.5803
11-07-2025,Europe:HR,4,469714.3583
11-07-2025,Europe:SI,12,387972.5803
12-07-2025,Europe:HR,4,469714.3583
12-07-2025,Europe:SI,12,387972.5803
13-07-2025,Europe:HR,4,469714.3583
13-07-2025,Europe:SI,12,387972.5803
