day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,6534528.3974,16,
15-06-2025,6534528.3974,16,
16-06-2025,6403175.3215,16,"c4xi6,rzm7j"
17-06-2025,6524462.8265,16,rzm7j
18-06-2025,6527816.8916,16,rzm7j
19-06-2025,6534528.3974,16,
20-06-2025,6534528.3974,16,
21-06-2025,4899553.1753,16,"q3vac,myguv,fr3jr,c4xi6,rzm7j,vs5lv"
22-06-2025,4801348.1735,16,"q3vac,myguv,fr3jr,c4xi6,rzm7j,vs5lv"
23-06-2025,5655377.9092,16,"q3vac,myguv,fr3jr,c4xi6,rzm7j,vs5lv"
24-06-2025,6497659.2115,16,rzm7j
25-06-2025,6463361.7842,16,rzm7j
26-06-2025,6534528.3974,16,
27-06-2025,6534528.3974,16,
28-06-2025,6534528.3974,16,
29-06-2025,6534528.3974,16,
30-06-2025,6534528.3974,16,
01-07-2025,6534528.3974,16,
02-07-2025,6534528.3974,16,
03-07-2025,6534528.3974,16,
04-07-2025,6534528.3974,16,
05-07-2025,6534528.3974,16,
06-07-2025,6534528.3974,16,
07-07-2025,6534528.3974,16,
08-07-2025,6534528.3974,16,
09-07-2025,6534528.3974,16,
10-07-2025,6534528.3974,16,
11-07-2025,6534528.3974,16,
12-07-2025,6534528.3974,16,
13-07-2025,6534528.3974,16,
