day,region,nodes_count,xdr_permyriad
14-06-2025,Europe:PT,3,481547.2963
15-06-2025,Europe:PT,3,481547.2963
16-06-2025,Europe:PT,3,481547.2963
17-06-2025,Europe:PT,3,481547.2963
18-06-2025,Europe:PT,3,481547.2963
19-06-2025,Europe:PT,3,481547.2963
20-06-2025,Europe:PT,3,481547.2963
21-06-2025,Europe:PT,3,481547.2963
22-06-2025,Europe:PT,3,481547.2963
23-06-2025,Europe:PT,3,481547.2963
24-06-2025,Europe:PT,3,481547.2963
25-06-2025,Europe:PT,3,481547.2963
26-06-2025,Europe:PT,3,481547.2963
27-06-2025,Europe:PT,3,481547.2963
28-06-2025,Europe:PT,3,481547.2963
29-06-2025,Europe:PT,3,481547.2963
30-06-2025,Europe:PT,3,481547.2963
01-07-2025,Europe:PT,3,481547.2963
02-07-2025,Europe:PT,3,481547.2963
03-07-2025,Europe:PT,3,481547.2963
04-07-2025,Europe:PT,3,481547.2963
05-07-2025,Europe:PT,3,481547.2963
06-07-2025,Europe:PT,3,481547.2963
07-07-2025,Europe:PT,3,481547.2963
08-07-2025,Europe:PT,3,481547.2963
09-07-2025,Europe:PT,3,481547.2963
10-07-2025,Europe:PT,3,481547.2963
11-07-2025,Europe:PT,3,481547.2963
12-07-2025,Europe:PT,3,481547.2963
13-07-2025,Europe:PT,3,481547.2963
