day,region,nodes_count,xdr_permyriad
14-06-2025,Africa:ZA,6,670339.0009
15-06-2025,Africa:ZA,6,670339.0009
16-06-2025,Africa:ZA,6,670339.0009
17-06-2025,Africa:ZA,6,670339.0009
18-06-2025,Africa:ZA,6,670339.0009
19-06-2025,Africa:ZA,6,670339.0009
20-06-2025,Africa:ZA,6,670339.0009
21-06-2025,Africa:ZA,6,670339.0009
22-06-2025,Africa:ZA,6,670339.0009
23-06-2025,Africa:ZA,6,670339.0009
24-06-2025,Africa:ZA,6,670339.0009
25-06-2025,Africa:ZA,6,670339.0009
26-06-2025,Africa:ZA,6,670339.0009
27-06-2025,Africa:ZA,6,670339.0009
28-06-2025,Africa:ZA,6,670339.0009
29-06-2025,Africa:ZA,6,670339.0009
30-06-2025,Africa:ZA,6,670339.0009
01-07-2025,Africa:ZA,6,670339.0009
02-07-2025,Africa:ZA,6,670339.0009
03-07-2025,Africa:ZA,6,670339.0009
04-07-2025,Africa:ZA,6,670339.0009
05-07-2025,Africa:ZA,6,670339.0009
06-07-2025,Africa:ZA,6,670339.0009
07-07-2025,Africa:ZA,6,670339.0009
08-07-2025,Africa:ZA,6,670339.0009
09-07-2025,Africa:ZA,6,670339.0009
10-07-2025,Africa:ZA,6,670339.0009
11-07-2025,Africa:ZA,6,670339.0009
12-07-2025,Africa:ZA,6,670339.0009
13-07-2025,Africa:ZA,6,670339.0009
