day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,6978598.5869,12,
15-06-2025,6978598.5869,12,
16-06-2025,6978598.5869,12,
17-06-2025,6978598.5869,12,
18-06-2025,6978598.5869,12,
19-06-2025,6978598.5869,12,
20-06-2025,6978598.5869,12,
21-06-2025,6978598.5869,12,
22-06-2025,6978598.5869,12,
23-06-2025,6978598.5869,12,
24-06-2025,6978598.5869,12,
25-06-2025,6978598.5869,12,
26-06-2025,6978598.5869,12,
27-06-2025,6978598.5869,12,
28-06-2025,6978598.5869,12,
29-06-2025,6978598.5869,12,
30-06-2025,6978598.5869,12,
01-07-2025,6978598.5869,12,
02-07-2025,6978598.5869,12,
03-07-2025,6978598.5869,12,
04-07-2025,6978598.5869,12,
05-07-2025,6978598.5869,12,
06-07-2025,6978598.5869,12,
07-07-2025,6978598.5869,12,
08-07-2025,6978598.5869,12,
09-07-2025,6978598.5869,12,
10-07-2025,6978598.5869,12,
11-07-2025,6978598.5869,12,
12-07-2025,6978598.5869,12,
13-07-2025,6978598.5869,12,
