node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
tws6x,Type3dot1,"South America,CO,Bogota",bg1,14-06-2025,assigned,pzp6e,0.0017,5134,1,0.0001,0.0000,,1.0000,0.0000,729469.0799,729469.0799
tws6x,Type3dot1,"South America,CO,Bogota",bg1,15-06-2025,assigned,pzp6e,0.0019,5114,0,0.0000,0.0000,,1.0000,0.0000,729469.0799,729469.0799
tws6x,Type3dot1,"South America,CO,Bogota",bg1,16-06-2025,assigned,pzp6e,0.0039,4897,3,0.0006,0.0000,,1.0000,0.0000,729469.0799,729469.0799
tws6x,Type3dot1,"South America,CO,Bogota",bg1,17-06-2025,assigned,pzp6e,0.0019,5114,3,0.0005,0.0000,,1.0000,0.0000,729469.0799,729469.0799
tws6x,Type3dot1,"South America,CO,Bogota",bg1,18-06-2025,assigned,pzp6e,0.0027,5177,5,0.0009,0.0000,,1.0000,0.0000,729469.0799,729469.0799
tws6x,Type3dot1,"South America,CO,Bogota",bg1,19-06-2025,assigned,pzp6e,0.0021,5041,7,0.0013,0.0000,,1.0000,0.0000,729469.0799,729469.0799
tws6x,Type3dot1,"South America,CO,Bogota",bg1,20-06-2025,assigned,pzp6e,0.0009,5150,6,0.0011,0.0002,,1.0000,0.0000,729469.0799,729469.0799
tws6x,Type3dot1,"South America,CO,Bogota",bg1,21-06-2025,assigned,pzp6e,0.0014,4685,2,0.0004,0.0000,,1.0000,0.0000,729469.0799,729469.0799
tws6x,Type3dot1,"South America,CO,Bogota",bg1,22-06-2025,assigned,pzp6e,0.0013,4406,2,0.0004,0.0000,,1.0000,0.0000,729469.0799,729469.0799
tws6x,Type3dot1,"South America,CO,Bogota",bg1,23-06-2025,assigned,pzp6e,0.0027,4656,4,0.0008,0.0000,,1.0000,0.0000,729469.0799,729469.0799
