node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,14-06-2025,unassigned,,,,,,,0.0131,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,15-06-2025,unassigned,,,,,,,0.0163,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,16-06-2025,unassigned,,,,,,,0.0135,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,17-06-2025,unassigned,,,,,,,0.0162,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,18-06-2025,unassigned,,,,,,,0.0202,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,19-06-2025,unassigned,,,,,,,0.0232,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,20-06-2025,unassigned,,,,,,,0.0220,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,21-06-2025,unassigned,,,,,,,0.0183,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,22-06-2025,unassigned,,,,,,,0.0181,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,23-06-2025,unassigned,,,,,,,0.0252,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,24-06-2025,unassigned,,,,,,,0.0358,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,25-06-2025,unassigned,,,,,,,0.0179,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,29-06-2025,unassigned,,,,,,,0.0155,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,30-06-2025,unassigned,,,,,,,0.0196,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,01-07-2025,unassigned,,,,,,,0.0154,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,02-07-2025,unassigned,,,,,,,0.0092,1.0000,0.0000,672382.9675,672382.9675
4p3lu,Type3dot1,"Asia,IN,New Delhi",nd1,03-07-2025,unassigned,,,,,,,0.0139,1.0000,0.0000,672382.9675,672382.9675
