day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,1344765.9351,2,
15-06-2025,1344765.9351,2,
16-06-2025,1344765.9351,2,
17-06-2025,1344765.9351,2,
18-06-2025,1344765.9351,2,
19-06-2025,1344765.9351,2,
20-06-2025,1344765.9351,2,
21-06-2025,1344765.9351,2,
22-06-2025,1344765.9351,2,
23-06-2025,1344765.9351,2,
24-06-2025,1344765.9351,2,
25-06-2025,1344765.9351,2,
26-06-2025,1344765.9351,2,
27-06-2025,1344765.9351,2,
28-06-2025,1344765.9351,2,
29-06-2025,1344765.9351,2,
30-06-2025,1344765.9351,2,
01-07-2025,1344765.9351,2,
02-07-2025,1344765.9351,2,
03-07-2025,1344765.9351,2,
04-07-2025,1344765.9351,2,
05-07-2025,1344765.9351,2,
06-07-2025,1344765.9351,2,
07-07-2025,1344765.9351,2,
08-07-2025,1344765.9351,2,
09-07-2025,1344765.9351,2,
10-07-2025,1344765.9351,2,
11-07-2025,1344765.9351,2,
12-07-2025,1344765.9351,2,
13-07-2025,1344765.9351,2,
