node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
kgo2t,Type3dot1,"Africa,ZA,Cape Town",ct2,14-06-2025,assigned,uzr34,0.0027,5403,0,0.0000,0.0000,,1.0000,0.0000,670339.0009,670339.0009
kgo2t,Type3dot1,"Africa,ZA,Cape Town",ct2,15-06-2025,assigned,uzr34,0.0022,5234,1,0.0001,0.0000,,1.0000,0.0000,670339.0009,670339.0009
kgo2t,Type3dot1,"Africa,ZA,Cape Town",ct2,16-06-2025,assigned,uzr34,0.0020,5360,1,0.0001,0.0000,,1.0000,0.0000,670339.0009,670339.0009
kgo2t,Type3dot1,"Africa,ZA,Cape Town",ct2,17-06-2025,assigned,uzr34,0.0012,5258,2,0.0003,0.0000,,1.0000,0.0000,670339.0009,670339.0009
kgo2t,Type3dot1,"Africa,ZA,Cape Town",ct2,18-06-2025,assigned,uzr34,0.0007,5434,0,0.0000,0.0000,,1.0000,0.0000,670339.0009,670339.0009
kgo2t,Type3dot1,"Africa,ZA,Cape Town",ct2,19-06-2025,assigned,uzr34,0.0012,5271,1,0.0001,0.0000,,1.0000,0.0000,670339.0009,670339.0009
kgo2t,Type3dot1,"Africa,ZA,Cape Town",ct2,20-06-2025,assigned,uzr34,0.0009,5622,2,0.0003,0.0000,,1.0000,0.0000,670339.0009,670339.0009
kgo2t,Type3dot1,"Africa,ZA,Cape Town",ct2,21-06-2025,assigned,uzr34,0.0006,5138,1,0.0001,0.0000,,1.0000,0.0000,670339.0009,670339.0009
kgo2t,Type3dot1,"Africa,ZA,Cape Town",ct2,22-06-2025,assigned,uzr34,0.0008,4797,5,0.0010,0.0001,,1.0000,0.0000,670339.0009,670339.0009
kgo2t,Type3dot1,"Africa,ZA,Cape Town",ct2,23-06-2025,assigned,uzr34,0.0036,5187,45,0.0086,0.0049,,1.0000,0.0000,670339.0009,670339.0009
kgo2t,Type3dot1,"Africa,ZA,Cape Town",ct2,24-06-2025,assigned,uzr34,0.0009,5321,1,0.0001,0.0000,,1.0000,0.0000,670339.0009,670339.0009
