day,region,nodes_count,xdr_permyriad
14-06-2025,Europe:ES,4,469714.3583
14-06-2025,Europe:FR,4,320707.9671
15-06-2025,Europe:ES,4,469714.3583
15-06-2025,Europe:FR,4,320707.9671
16-06-2025,Europe:ES,4,469714.3583
16-06-2025,Europe:FR,4,320707.9671
17-06-2025,Europe:ES,4,469714.3583
17-06-2025,Europe:FR,4,320707.9671
18-06-2025,Europe:ES,4,469714.3583
18-06-2025,Europe:FR,4,320707.9671
19-06-2025,Europe:ES,4,469714.3583
19-06-2025,Europe:FR,4,320707.9671
20-06-2025,Europe:ES,4,469714.3583
20-06-2025,Europe:FR,4,320707.9671
21-06-2025,Europe:ES,4,469714.3583
21-06-2025,Europe:FR,4,320707.9671
22-06-2025,Europe:ES,4,469714.3583
22-06-2025,Europe:FR,4,320707.9671
23-06-2025,Europe:ES,4,469714.3583
23-06-2025,Europe:FR,4,320707.9671
24-06-2025,Europe:ES,4,469714.3583
24-06-2025,Europe:FR,4,320707.9671
25-06-2025,Europe:ES,4,469714.3583
25-06-2025,Europe:FR,4,320707.9671
26-06-2025,Europe:ES,4,469714.3583
26-06-2025,Europe:FR,4,320707.9671
27-06-2025,Europe:ES,4,469714.3583
27-06-2025,Europe:FR,4,320707.9671
28-06-2025,Europe:ES,1,506447.6386
29-06-2025,Europe:ES,1,506447.6386
30-06-2025,Europe:ES,1,506447.6386
01-07-2025,Europe:ES,1,506447.6386
02-07-2025,Europe:ES,1,506447.6386
03-07-2025,Europe:ES,1,506447.6386
04-07-2025,Europe:ES,1,506447.6386
05-07-2025,Europe:ES,1,506447.6386
06-07-2025,Europe:ES,1,506447.6386
07-07-2025,Europe:ES,1,506447.6386
08-07-2025,Europe:ES,1,506447.6386
09-07-2025,Europe:ES,1,506447.6386
10-07-2025,Europe:ES,1,506447.6386
11-07-2025,Europe:ES,1,506447.6386
12-07-2025,Europe:ES,1,506447.6386
13-07-2025,Europe:ES,1,506447.6386
