node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
pekym,Type3dot1,"Europe,ES,Barcelona",es1,14-06-2025,assigned,bkfrj,0.0036,11415,0,0.0000,0.0000,,1.0000,0.0000,469714.3583,469714.3583
pekym,Type3dot1,"Europe,ES,Barcelona",es1,15-06-2025,assigned,bkfrj,0.0213,11254,0,0.0000,0.0000,,1.0000,0.0000,469714.3583,469714.3583
pekym,Type3dot1,"Europe,ES,Barcelona",es1,16-06-2025,assigned,bkfrj,0.0257,11279,0,0.0000,0.0000,,1.0000,0.0000,469714.3583,469714.3583
pekym,Type3dot1,"Europe,ES,Barcelona",es1,17-06-2025,assigned,bkfrj,0.0203,11459,0,0.0000,0.0000,,1.0000,0.0000,469714.3583,469714.3583
pekym,Type3dot1,"Europe,ES,Barcelona",es1,18-06-2025,assigned,bkfrj,0.0250,11249,0,0.0000,0.0000,,1.0000,0.0000,469714.3583,469714.3583
pekym,Type3dot1,"Europe,ES,Barcelona",es1,19-06-2025,assigned,bkfrj,0.0165,11251,0,0.0000,0.0000,,1.0000,0.0000,469714.3583,469714.3583
pekym,Type3dot1,"Europe,ES,Barcelona",es1,20-06-2025,assigned,bkfrj,0.0042,11581,0,0.0000,0.0000,,1.0000,0.0000,469714.3583,469714.3583
pekym,Type3dot1,"Europe,ES,Barcelona",es1,21-06-2025,assigned,bkfrj,0.0020,11523,0,0.0000,0.0000,,1.0000,0.0000,469714.3583,469714.3583
pekym,Type3dot1,"Europe,ES,Barcelona",es1,22-06-2025,assigned,bkfrj,0.0000,11521,0,0.0000,0.0000,,1.0000,0.0000,469714.3583,469714.3583
pekym,Type3dot1,"Europe,ES,Barcelona",es1,23-06-2025,assigned,bkfrj,0.0031,11396,0,0.0000,0.0000,,1.0000,0.0000,469714.3583,469714.3583
pekym,Type3dot1,"Europe,ES,Barcelona",es1,24-06-2025,assigned,bkfrj,0.0170,11102,0,0.0000,0.0000,,1.0000,0.0000,469714.3583,469714.3583
pekym,Type3dot1,"Europe,ES,Barcelona",es1,25-06-2025,assigned,bkfrj,0.0068,11376,0,0.0000,0.0000,,1.0000,0.0000,469714.3583,469714.3583
pekym,Type3dot1,"Europe,ES,Barcelona",es1,26-06-2025,assigned,bkfrj,0.0182,8268,0,0.0000,0.0000,,1.0000,0.0000,469714.3583,469714.3583
